"","Host","Accession","Description","Classification","Genome.Length..bp.","Jumbophage","molGC....","Molecule","Modification.Date","Number.CDS","Positive.Strand....","Negative.Strand....","Coding.Capacity...","Low.Coding.Capacity.Warning","tRNAs","Lowest.Taxa","Genus","Sub.family","Family","Order","Class","Phylum","Kingdom","Realm","Baltimore.Group","Genbank.Division","Isolation.Host..beware.inconsistent.and.nonsense.values.","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","fna"
"959","Enterococcus","OR846594","Enterococcus phage Efs 1-1-1","Enterococcus phage Efs 1-1-1 Viruses",76392,FALSE,"37.935","DNA","19-FEB-2024",80,"26.25","73.75","88.5681746779768",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"960","Enterococcus","OP559179","Enterococcus phage vB_Efa29212_3e","Enterococcus phage vB_Efa29212_3e Kochikohdavirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",49784,FALSE,"36.632","DNA","12-OCT-2022",45,"4.44444444444444","95.5555555555556","90.6917885264342",NA,0,"Kochikohdavirus","Kochikohdavirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"961","Enterococcus","MT757399","Enterococcus phage AE4_17","Enterococcus phage AE4_17 Copernicusvirus AE417 Copernicusvirus Sarlesvirinae Rountreeviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",18477,FALSE,"32.879","DNA","29-SEP-2020",27,"62.962962962963","37.037037037037","94.6906965416464",NA,0,"Copernicusvirus","Copernicusvirus","Sarlesvirinae","Rountreeviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"962","Enterococcus","MZ333458","Enterococcus phage SEsuP-1","Enterococcus phage SEsuP-1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39319,FALSE,"33.518","DNA","08-AUG-2021",52,"86.5384615384615","13.4615384615385","84.8800834202294",NA,2,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus sp.","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"963","Enterococcus","PP582180","Enterococcus phage vB_Efs8_KEN04","Enterococcus phage vB_Efs8_KEN04 Kochikohdavirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",142402,FALSE,"36.011","DNA","27-APR-2024",201,"67.1641791044776","32.8358208955224","89.2129324026348",NA,7,"Kochikohdavirus","Kochikohdavirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"964","Enterococcus","OR360270","Enterococcus phage SSMH01","Enterococcus phage SSMH01 Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41704,FALSE,"34.781","DNA","04-OCT-2023",64,"39.0625","60.9375","90.3078841358143",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis EF-JMSS09","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"965","Enterococcus","OR846604","Enterococcus phage Efs 1-1-1","Enterococcus phage Efs 1-1-1 Viruses",48297,FALSE,"37.717","DNA","19-FEB-2024",43,"83.7209302325581","16.2790697674419","91.4984367559062",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"966","Enterococcus","MT939241","Enterococcus phage 9183","Enterococcus phage 9183 Denvervirus dv9183 Denvervirus Andrewesvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",86301,FALSE,"33.003","DNA","29-SEP-2020",108,"74.0740740740741","25.9259259259259","91.9085526239557",NA,2,"Denvervirus","Denvervirus","Andrewesvirinae","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"967","Enterococcus","MN939408","Enterococcus phage vB_EfaS_TV16","Enterococcus phage vB_EfaS_TV16 Saphexavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",58127,FALSE,"40.062","DNA","01-FEB-2021",97,"86.5979381443299","13.4020618556701","87.4774201317804",NA,1,"Saphexavirus","Saphexavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis ATCC 29212","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"968","Enterococcus","MT350293","Enterococcus phage EFA-2","Enterococcus phage EFA-2 Studiervirinae Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39964,FALSE,"48.554","DNA","19-MAY-2020",49,"0","100","90.4714242818537",NA,0,"Studiervirinae","Unclassified","Studiervirinae","Autographiviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"969","Enterococcus","OR846605","Enterococcus phage Efs 1-1-1","Enterococcus phage Efs 1-1-1 Viruses",47370,FALSE,"37.000","DNA","19-FEB-2024",58,"82.7586206896552","17.2413793103448","90.5889803673211",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"970","Enterococcus","MZ182246","Enterococcus phage vB_EfaS_785CS","Enterococcus phage vB_EfaS_785CS Efquatrovirus LY0322 Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40946,FALSE,"34.785","DNA","29-MAY-2021",68,"63.2352941176471","36.7647058823529","90.2872075416402",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"971","Enterococcus","KJ127304","Enterococcus phage AUEF3","Enterococcus phage AUEF3 Efquatrovirus AUEF3 Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41257,FALSE,"34.452","DNA","09-JAN-2024",68,"36.7647058823529","63.2352941176471","90.4234432944712",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis 8413","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"972","Enterococcus","MZ326865","Enterococcus phage Sigurd","Enterococcus phage Sigurd Efquatrovirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",41811,FALSE,"34.457","DNA","03-FEB-2022",73,"31.5068493150685","68.4931506849315","91.3826504986726",NA,0,"Efquatrovirus","Efquatrovirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"973","Enterococcus","ON286976","Enterococcus phage Sw5","Enterococcus phage Sw5 Kochikohdavirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",143759,FALSE,"35.805","DNA","22-JUN-2022",210,"68.0952380952381","31.9047619047619","88.3875096515696",NA,7,"Kochikohdavirus","Kochikohdavirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis OG1RF","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"974","Enterococcus","MN241318","Enterococcus phage PEf771","Enterococcus phage PEf771 Schiekvirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",151052,FALSE,"36.967","DNA","13-APR-2020",192,"40.625","59.375","89.1606863861452",NA,22,"Schiekvirus","Schiekvirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis YN771","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"975","Enterococcus","OQ653963","Enterococcus phage PEF1","Enterococcus phage PEF1 Schiekvirus Brockvirinae Herelleviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",150166,FALSE,"37.068","DNA","01-MAR-2024",188,"39.3617021276596","60.6382978723404","89.8392445693433",NA,23,"Schiekvirus","Schiekvirus","Brockvirinae","Herelleviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"976","Enterococcus","KT945995","Enterococcus phage vB_EfaP_IME199","Enterococcus phage vB_EfaP_IME199 Minhovirus IME199 Minhovirus Sarlesvirinae Rountreeviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",18838,FALSE,"34.627","DNA","15-MAY-2017",22,"50","50","95.3126658880985",NA,0,"Minhovirus","Minhovirus","Sarlesvirinae","Rountreeviridae","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecium","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"977","Enterococcus","OR846600","Enterococcus phage Efs 1-1-1","Enterococcus phage Efs 1-1-1 Viruses",62004,FALSE,"38.244","DNA","19-FEB-2024",51,"23.5294117647059","76.4705882352941","84.2752080510935",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Enterococcus faecalis","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"978","Enterococcus","PP582181","Enterococcus phage vB_Efs10_KEN05","Enterococcus phage vB_Efs10_KEN05 Saphexavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",59225,FALSE,"39.846","DNA","27-APR-2024",97,"83.5051546391753","16.4948453608247","87.3246095398902",NA,1,"Saphexavirus","Saphexavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis 6","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"979","Enterococcus","KF192053","Enterococcus phage IMEEF1","Enterococcus phage IMEEF1 Saphexavirus IMEEF1 Saphexavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",57081,FALSE,"40.045","DNA","20-NOV-2013",97,"13.4020618556701","86.5979381443299","86.9834095408279",NA,1,"Saphexavirus","Saphexavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Enterococcus faecalis 002","Enterococcaceae",FALSE,"Bacteria","Bacillota","Bacilli","Lactobacillales","fna"
"980","Erysipelothrix","MF172979","Erysipelothrix phage phi1605","Erysipelothrix phage phi1605 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",90000,FALSE,"38.038","DNA","17-JAN-2018",77,"93.5064935064935","6.49350649350649","88.3733333333333",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Erysipelothrix rhusiopathiae ZJ","Erysipelotrichaceae",TRUE,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","fna"
"981","Erysipelothrix","KR816341","Erysipelothrix phage SE-1","Erysipelothrix phage SE-1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",34997,FALSE,"33.951","DNA","15-JUL-2015",44,"13.6363636363636","86.3636363636364","88.6361688144698",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Erysipelothrix rhusiopathiae","Erysipelotrichaceae",TRUE,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","fna"
"982","Faecalibacterium","PP479942","Faecalibacterium phage Lelie","Faecalibacterium phage Lelie Viruses",53400,FALSE,"53.940","DNA","26-NOV-2024",80,"83.75","16.25","89.747191011236",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Faecalibacterium sp. L2-61","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"983","Faecalibacterium","MG711464","Faecalibacterium phage FP_Lugh","Faecalibacterium phage FP_Lugh Lughvirus lugh Lughvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",34075,FALSE,"59.894","DNA","03-FEB-2018",42,"92.8571428571429","7.14285714285714","94.9640498899486",NA,1,"Lughvirus","Lughvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"984","Faecalibacterium","MG711462","Faecalibacterium phage FP_Epona","Faecalibacterium phage FP_Epona Eponavirus epona Eponavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",49573,FALSE,"57.092","DNA","03-FEB-2018",75,"84","16","92.2457789522522",NA,0,"Eponavirus","Eponavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"985","Faecalibacterium","MG711467","Faecalibacterium phage FP_Taranis","Faecalibacterium phage FP_Taranis Taranisvirus taranis Taranisvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",54286,FALSE,"55.799","DNA","03-FEB-2018",85,"88.2352941176471","11.7647058823529","94.6431860884943",NA,0,"Taranisvirus","Taranisvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"986","Faecalibacterium","PP479940","Faecalibacterium phage Pioen","Faecalibacterium phage Pioen Viruses",51920,FALSE,"55.670","DNA","26-NOV-2024",81,"87.6543209876543","12.3456790123457","94.2526964560863",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Faecalibacterium sp. HTF-238","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"987","Faecalibacterium","MG711460","Faecalibacterium phage FP_Mushu","Faecalibacterium phage FP_Mushu Mushuvirus mushu Mushuvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",36636,FALSE,"60.310","DNA","03-FEB-2018",52,"96.1538461538462","3.84615384615385","93.7356698329512",NA,0,"Mushuvirus","Mushuvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"988","Faecalibacterium","PP479941","Faecalibacterium phage Aster","Faecalibacterium phage Aster Viruses",35473,FALSE,"58.811","DNA","26-NOV-2024",51,"88.2352941176471","11.7647058823529","92.8509006850281",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Faecalibacterium sp. HTF-238","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"989","Faecalibacterium","MG711465","Faecalibacterium phage FP_Brigit","Faecalibacterium phage FP_Brigit Brigitvirus brigit Brigitvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",61716,FALSE,"55.796","DNA","03-FEB-2018",97,"96.9072164948454","3.09278350515464","94.4179791302093",NA,1,"Brigitvirus","Brigitvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"990","Faecalibacterium","MG711461","Faecalibacterium phage FP_Lagaffe","Faecalibacterium phage FP_Lagaffe Lagaffevirus lagaffe Lagaffevirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",48211,FALSE,"55.906","DNA","03-FEB-2018",65,"98.4615384615385","1.53846153846154","93.7192756839725",NA,0,"Lagaffevirus","Lagaffevirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"991","Faecalibacterium","PP479939","Faecalibacterium phage Roos","Faecalibacterium phage Roos Viruses",54314,FALSE,"53.828","DNA","26-NOV-2024",82,"86.5853658536585","13.4146341463415","93.0367860956659",NA,1,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Faecalibacterium sp. FM8","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"992","Faecalibacterium","MG711463","Faecalibacterium phage FP_oengus","Faecalibacterium phage FP_oengus Oengusvirus oengus Oengusvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",58391,FALSE,"49.794","DNA","03-FEB-2018",88,"97.7272727272727","2.27272727272727","91.1047935469507",NA,1,"Oengusvirus","Oengusvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"993","Faecalibacterium","MG711466","Faecalibacterium phage FP_Toutatis","Faecalibacterium phage FP_Toutatis Toutatisvirus toutatis Toutatisvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",54725,FALSE,"53.906","DNA","03-FEB-2018",88,"78.4090909090909","21.5909090909091","90.1671996345363",NA,0,"Toutatisvirus","Toutatisvirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Faecalibacterium prausnitzii","Ruminococcaceae",TRUE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"994","Flavonifractor","ON453905","Flavonifractor phage Cormatin","Flavonifractor phage Cormatin Viruses",35440,FALSE,"61.862","DNA","11-SEP-2023",52,"9.61538461538462","90.3846153846154","92.6241534988713",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Flavonifractor plautii","Oscillospiraceae",FALSE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"995","Flavonifractor","ON453903","Flavonifractor phage Castelnaud","Flavonifractor phage Castelnaud Viruses",37125,FALSE,"58.586","DNA","11-SEP-2023",50,"16","84","93.2309764309764",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Flavonifractor plautii","Oscillospiraceae",FALSE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"996","Flavonifractor","ON453904","Flavonifractor phage Chenonceau","Flavonifractor phage Chenonceau Viruses",42124,FALSE,"51.116","DNA","11-SEP-2023",70,"88.5714285714286","11.4285714285714","81.2458455987086",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Flavonifractor plautii","Oscillospiraceae",FALSE,"Bacteria","Bacillota","Clostridia","Oscillospirales","fna"
"997","Geobacillus","OP341628","Geobacillus phage vB_GthS_PK5.1","Geobacillus phage vB_GthS_PK5.1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38161,FALSE,"43.605","DNA","26-OCT-2022",63,"96.8253968253968","3.17460317460317","93.1343518251618",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus thermodenitrificans","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"998","Geobacillus","AB823818","Geobacillus phage phiOH2","Geobacillus phage phiOH2 Viruses",38099,FALSE,"44.689","DNA","15-NOV-2024",61,"9.83606557377049","90.1639344262295","93.0733090107352",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","PHG","Unspecified","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"999","Geobacillus","KP144388","Geobacillus virus E3","Geobacillus virus E3 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",141298,FALSE,"29.635","DNA","13-JUL-2015",219,"24.6575342465753","75.3424657534247","87.5787343062181",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Unspecified","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1000","Geobacillus","OP341630","Geobacillus phage vB_GthS_PT9.1","Geobacillus phage vB_GthS_PT9.1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38373,FALSE,"43.929","DNA","26-OCT-2022",70,"100","0","93.2921585489798",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus thermodenitrificans","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1001","Geobacillus","DQ453159","Geobacillus virus E2","Geobacillus virus E2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",40863,FALSE,"44.786","DNA","18-AUG-2008",60,"95","5","92.8713016665443",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1002","Geobacillus","KJ159566","Geobacillus phage GBK2","Geobacillus phage GBK2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39078,FALSE,"43.093","DNA","04-NOV-2014",57,"98.2456140350877","1.75438596491228","92.7529556272071",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus kaustophilus ATCC 8005","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1003","Geobacillus","DQ340064","Geobacillus phage GBSV1","Geobacillus phage GBSV1 Svunavirus GBSV1 Svunavirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",34683,FALSE,"44.379","DNA","20-MAR-2009",51,"86.2745098039216","13.7254901960784","88.9801920249113",NA,0,"Svunavirus","Svunavirus","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus sp. 6k51","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1004","Geobacillus","MN727882","Geobacillus phage GBK1","Geobacillus phage GBK1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",45439,FALSE,"43.562","DNA","11-JAN-2020",58,"100","0","90.7150245383921",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus kaustophilus ATCC 8005","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1005","Geobacillus","OP341626","Geobacillus phage vB_GthS_PK3.5","Geobacillus phage vB_GthS_PK3.5 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38788,FALSE,"43.501","DNA","26-OCT-2022",71,"100","0","91.8686191605651",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus thermodenitrificans","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1006","Geobacillus","OP341624","Geobacillus phage vB_GthS_NIIg9.7","Geobacillus phage vB_GthS_NIIg9.7 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",39016,FALSE,"43.710","DNA","26-OCT-2022",73,"98.6301369863014","1.36986301369863","93.523169981546",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus thermodenitrificans","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1007","Geobacillus","OP341629","Geobacillus phage vB_GthS_PK5.2","Geobacillus phage vB_GthS_PK5.2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38783,FALSE,"44.277","DNA","26-OCT-2022",59,"94.9152542372881","5.08474576271187","93.8761828636258",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus thermodenitrificans","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
"1008","Geobacillus","OP341627","Geobacillus phage vB_GthS_PK3.6","Geobacillus phage vB_GthS_PK3.6 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses",38405,FALSE,"43.682","DNA","26-OCT-2022",66,"100","0","91.9099075641193",NA,0,"Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","Caudoviricetes","Uroviricota","Heunggongvirae","Duplodnaviria","Group I","PHG","Geobacillus thermodenitrificans","Anoxybacillaceae",TRUE,"Bacteria","Bacillota","Bacilli","Bacillales","fna"
