SubtiWiki,BSU_number,FuncId,FuncName1,FuncName2,FuncName3,FuncName4,FuncName5
levD,BSU27070,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of fructose,NA
levR,BSU27080,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of fructose,NA
galT,BSU38190,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactose,NA
galK,BSU38200,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactose,NA
galE,BSU38860,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactose,NA
galM,BSU18360,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactose,NA
manR,BSU12000,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannose,NA
manP,BSU12010,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannose,NA
manA,BSU12020,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannose,NA
pmi,BSU35790,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannose,NA
mtlA,BSU03981,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannitol,NA
mtlF,BSU03982,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannitol,NA
mtlD,BSU03990,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannitol,NA
mtlR,BSU04160,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of mannitol,NA
gutR,BSU06140,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucitol,NA
gutB,BSU06150,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucitol,NA
gutP,BSU06160,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucitol,NA
yulE,BSU31180,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of rhamnose,NA
yulC,BSU31200,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of rhamnose,NA
gntR,BSU40050,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of gluconate,NA
gntK,BSU40060,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of gluconate,NA
gntP,BSU40070,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of gluconate,NA
gntZ,BSU40080,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of gluconate,NA
ycbC,BSU02460,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucarate/galactarate,NA
ycbD,BSU02470,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucarate/galactarate,NA
ycbE,BSU02480,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucarate/galactarate,NA
ycbF,BSU02490,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucarate/galactarate,NA
ycbG,BSU02500,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucarate/galactarate,NA
ycbH,BSU02510,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucarate/galactarate,NA
kdgT,BSU22090,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
kdgA,BSU22100,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
kdgK,BSU22110,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
kdgR,BSU22120,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
kduI,BSU22130,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
kduD,BSU22140,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
uxaC,BSU12300,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
yjmB,BSU12310,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
yjmC,BSU12320,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
yjmD,BSU12330,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
uxuA,BSU12340,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
yjmF,BSU12350,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
exuT,BSU12360,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
exuR,BSU12370,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
uxaB,BSU12380,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
uxaA,BSU12390,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of hexuronate ,NA
iolT,BSU06230,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolX,BSU10850,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolW,BSU33530,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolJ,BSU39670,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolI,BSU39680,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolH,BSU39690,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolG,BSU39700,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolF,BSU39710,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolE,BSU39720,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolD,BSU39730,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolC,BSU39740,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolB,BSU39750,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolA,BSU39760,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolR,BSU39770,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
iolS,BSU39780,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
yfiG,BSU08260,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of inositol,NA
yurJ,BSU32550,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
frlR,BSU32560,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
frlD,BSU32570,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
frlM,BSU32580,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
frlN,BSU32590,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
frlO,BSU32600,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
frlB,BSU32610,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
gamP,BSU02350,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
gamA,BSU02360,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
ybgA,BSU02370,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
murP,BSU01680,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
murR,BSU01690,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
murQ,BSU01700,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
nagA,BSU35010,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
nagB,BSU35020,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
nagP,BSU07700,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
nagR,BSU35030,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of amino sugars,NA
yckE,BSU03410,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of beta-glucosides,NA
licT,BSU39080,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of beta-glucosides,NA
bglH,BSU39260,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of beta-glucosides,NA
bglP,BSU39270,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of beta-glucosides,NA
bglA,BSU40110,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of beta-glucosides,NA
sacB,BSU34450,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
fruC,BSU06170,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
sacA,BSU38040,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
sacP,BSU38050,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
sacT,BSU38070,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
sacX,BSU38410,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
sacY,BSU38420,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of sucrose,NA
treP,BSU07800,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of trehalose,NA
treA,BSU07810,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of trehalose,NA
treR,BSU07820,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of trehalose,NA
glcK,BSU24850,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of trehalose,NA
msmR,BSU30260,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of melibiose,NA
msmE,BSU30270,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of melibiose,NA
amyD,BSU30280,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of melibiose,NA
amyC,BSU30290,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of melibiose,NA
melA,BSU30300,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of melibiose,NA
msmX,BSU38810,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of melibiose,NA
malA,BSU08180,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of maltose,NA
glvR,BSU08190,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of maltose,NA
malP,BSU08200,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of maltose,NA
glcK,BSU24850,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of maltose,NA
yvdK,BSU34570,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of maltose,NA
msmX,BSU38810,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
malL,BSU34560,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
mdxG,BSU34590,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
mdxF,BSU34600,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
mdxE,BSU34610,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
yvdF,BSU34620,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
yvdE,BSU34630,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
maa,BSU40850,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
amyE,BSU03040,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
glcK,BSU24850,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
amyX,BSU29930,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
pgcM,BSU34550,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of starch/ maltodextrin,NA
ganB,BSU34120,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactan,NA
ganA,BSU34130,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactan,NA
ganQ,BSU34140,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactan,NA
ganP,BSU34150,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactan,NA
cycB,BSU34160,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactan,NA
lacR,BSU34170,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of galactan,NA
gmuB,BSU05810,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuA,BSU05820,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuC,BSU05830,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuD,BSU05840,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuR,BSU05850,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuE,BSU05860,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuF,BSU05870,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
gmuG,BSU05880,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of glucomannan,NA
ybcM,BSU01900,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesO,BSU06970,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesP,BSU06980,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesQ,BSU06990,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesS,BSU07010,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesT,BSU07020,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesV,BSU07040,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesW,BSU07050,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesX,BSU07060,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesR,BSU07000,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesY,BSU07070,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yesZ,BSU07080,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
yteR,BSU30120,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of pectin,NA
pel,BSU07560,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
senS,BSU08810,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
bglC,BSU18130,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
xynC,BSU18150,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
xynD,BSU18160,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
pelB,BSU18650,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
csn,BSU26890,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
sacC,BSU27030,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
levG,BSU27040,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
levF,BSU27050,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
levE,BSU27060,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
levD,BSU27070,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
levR,BSU27080,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
ysdC,BSU28820,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
ytoP,BSU29860,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
yugT,BSU31290,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
levB,BSU34460,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
pelC,BSU34950,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
licH,BSU38560,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
licA,BSU38570,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
licC,BSU38580,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
licB,BSU38590,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
licR,BSU38600,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
bglS,BSU39070,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
licT,BSU39080,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other polymeric carbohydrates,NA
ydaE,BSU04200,SW 2.2,Metabolism,carbon metabolism,utilization of specific carbon sources,utilization of other pentoses and hexoses,NA
glnK,BSU02440,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnL,BSU02450,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnT,BSU02420,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnM,BSU27450,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnP,BSU27460,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnQ,BSU27430,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnH,BSU27440,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnA,BSU17460,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
glnR,BSU17450,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
gltA,BSU18450,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
gltB,BSU18440,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
gltC,BSU18460,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
gltT,BSU10220,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
nrgA,BSU36510,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
nrgB,BSU36520,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
tnrA,BSU13310,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of glutamate/ glutamine/ ammonium assimilation,NA
proA,BSU13130,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
proB,BSU13120,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
proG,BSU12910,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
proH,BSU18480,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
proI,BSU23800,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
proJ,BSU18470,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
putP,BSU03220,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline,NA
ytnA,BSU30530,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of proline/ based on similarity,NA
ahrC,BSU24250,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argB,BSU11210,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argC,BSU11190,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argD,BSU11220,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argF,BSU11250,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argG,BSU29450,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argH,BSU29440,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
argJ,BSU11200,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
artP,BSU23980,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
artQ,BSU23970,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
artR,BSU23960,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
carA,BSU11230,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
carB,BSU11240,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
rocC,BSU37760,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
rocE,BSU40330,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
Sr1,BSU14629,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of arginine,NA
asnB,BSU30540,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of aspartate/ asparagine,NA
asnH,BSU39920,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of aspartate/ asparagine,NA
asnO,BSU10790,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of aspartate/ asparagine,NA
aspB,BSU22370,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of aspartate/ asparagine,NA
yveA,BSU34470,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of aspartate/ asparagine,NA
asd,BSU16750,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of lysine/ threonine,NA
dapA,BSU16770,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of lysine/ threonine,NA
dapB,BSU22490,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of lysine/ threonine,NA
dapF,BSU32170,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of lysine/ threonine,NA
dapG,BSU16760,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of lysine/ threonine,NA
lysA,BSU23380,SW 2.3,Metabolism,amino acid/ nitrogen metabolism,biosynthesis/ acquisition of amino acids,biosynthesis/ acquisition of lysine/ threonine,NA
