"","gene_id.uniref90","gene_id.ko","gene_description","module","sheet","header","subheader","potential_amg","strain","dan.source","From","Reviewed","Protein names","Gene Names","Annotation","Keywords","PubMed ID","Gene Names (ORF)","KEGG","eggNOG","RefSeq","CAZy","BRENDA","OrthoDB","Pfam","InterPro","BioCyc","UniPathway","uniprot.source","FinalID"
"258","O06728","K02291","yisP;squalene/phytoene synthase",NA,"MISC","Sporulation","phosphorelay",TRUE,"bs","DAN","O06728","reviewed","Farnesyl diphosphate phosphatase YisP (EC 3.1.7.6)","yisP yucD BSU10810",5,"3D-structure;Hydrolase;Reference proteome","9353932; 9384377; 20713508; 23651456; 25308276","","bsu:BSU10810;","COG1562;","","","","9787280at2;","PF00494;","IPR008949;IPR002060;","BSUB:BSU10810-MONOMER;","","ML","K02291"
"259","O06734",NA,"yisY;AB hydrolase superfamily protein YisY","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06734","reviewed","AB hydrolase superfamily protein YisY (EC 3.-.-.-)","yisY BSU10900",2,"Hydrolase;Reference proteome","9353931; 9384377","","bsu:BSU10900;","COG2267;","NP_388971.1;WP_003245141.1;","","","9773293at2;","PF00561;","IPR000073;IPR029058;IPR050266;IPR000639;","BSUB:BSU10900-MONOMER;","","ML","O06734"
"260","O06735","K00860","yisZ;adenylyl-sulfate kinase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06735","reviewed","Probable adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)","yisZ BSU10910",3,"ATP-binding;Kinase;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase","9353932; 9384377","","bsu:BSU10910;","COG0529;","NP_388972.1;","","","9804504at2;","PF01583;","IPR002891;IPR027417;","BSUB:BSU10910-MONOMER;","UPA00140;","ML","K00860"
"261","O06736","K00958","yitA;sulfate adenylyltransferase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06736","reviewed","Probable sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)","yitA BSU10920",2,"ATP-binding;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase","9353932; 9384377","","bsu:BSU10920;","COG2046;","NP_388973.2;","","","9804504at2;","PF01747;PF14306;","IPR025980;IPR015947;IPR014729;IPR020792;IPR024951;IPR002650;","BSUB:BSU10920-MONOMER;","UPA00140;","ML","K00958"
"262","O06737","K00390","yitB;phosphoadenosine phosphosulfate reductase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06737","reviewed","Adenosine 5'-phosphosulfate reductase 2 (APS reductase 2) (EC 1.8.4.10) (5'-adenylylsulfate reductase 2) (Thioredoxin-dependent 5'-adenylylsulfate reductase 2)","cysH1 yitB BSU10930",4,"Cytoplasm;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome","9353932; 9384377","","bsu:BSU10930;","COG0175;","NP_388974.2;WP_003244757.1;","","","9772604at2;","PF01507;","IPR011798;IPR004511;IPR002500;IPR014729;","BSUB:BSU10930-MONOMER;","","ML","K00390"
"263","O06738","K05979","yitC;2-phosphosulfolactate phosphatase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06738","reviewed","Probable 2-phosphosulfolactate phosphatase (EC 3.1.3.71)","comB yitC BSU10940",2,"Hydrolase;Magnesium;Reference proteome","9353932; 9384377","","bsu:BSU10940;","COG2045;","WP_003233050.1;","","","4913at2;","PF04029;","IPR005238;IPR036702;","BSUB:BSU10940-MONOMER;","","ML","K05979"
"264","O06739","K08097","yitD;phosphosulfolactate synthase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06739","reviewed","Phosphosulfolactate synthase (EC 4.4.1.19) ((2R)-phospho-3-sulfolactate synthase) (PSL synthase)","yitD BSU10950",2,"3D-structure;Lyase;Reference proteome","9353932; 9384377; 11244054","","bsu:BSU10950;","COG1809;","WP_003233048.1;","","","7809088at2;","PF02679;","IPR013785;IPR003830;IPR036112;","BSUB:BSU10950-MONOMER;","","ML","K08097"
"265","O06740",NA,"yitE;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06740","reviewed","UPF0750 membrane protein YitE","yitE BSU10960",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9353931; 9384377","","bsu:BSU10960;","COG1284;","NP_388977.1;WP_009966972.1;","","","2182285at2;","PF02588;","IPR051461;IPR003740;","BSUB:BSU10960-MONOMER;","","ML","O06740"
"266","O06741",NA,"yitF;isomerase","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06741","reviewed","Putative isomerase YitF (EC 5.-.-.-)","yitF BSU10970",3,"3D-structure;Isomerase;Magnesium;Metal-binding;Reference proteome","9353932; 9384377","","bsu:BSU10970;","COG4948;","NP_388978.1;WP_003245056.1;","","","9775391at2;","PF13378;PF02746;","IPR036849;IPR029017;IPR029065;IPR013342;IPR013341;IPR046945;","BSUB:BSU10970-MONOMER;","","ML","O06741"
"267","O06752",NA,"yitQ;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06752","reviewed","Uncharacterized protein YitQ","yitQ BSU11080",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9353932; 9384377","","bsu:BSU11080;","ENOG502ZKN3;","NP_388989.2;WP_003244996.1;","","","7182479at2;","PF22564;","","BSUB:BSU11080-MONOMER;","","ML","O06752"
"268","O06990","K15771","mdxF;maltodextrin transport system permease protein MdxF","Importers","MISC","Transporters","ABC transporters",TRUE,"bs","DAN","O06990","reviewed","Maltodextrin transport system permease protein MdxF","mdxF yvdH BSU34600",2,"Cell membrane;Membrane;Polysaccharide transport;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport","9384377; 16707683","","bsu:BSU34600;","COG1175;","NP_391340.1;WP_003243114.1;","","","9778687at2;","PF00528;","IPR000515;IPR035906;","BSUB:BSU34600-MONOMER;","","ML","K15771"
"269","O06996",NA,"cotR;sporulation hydrolase CotR","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06996","reviewed","Putative sporulation hydrolase CotR (EC 3.1.1.-)","cotR yvdO BSU34530",2,"Hydrolase;Lipid degradation;Lipid metabolism;Reference proteome;Sporulation","9384377; 11737650","","bsu:BSU34530;","COG3621;","NP_391333.1;WP_003243674.1;","","","9807112at2;","PF01734;","IPR016035;IPR002641;IPR047156;","BSUB:BSU34530-MONOMER;","","ML","O06996"
"270","O06997",NA,"cotQ;FAD-linked oxidoreductase YvdP","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06997","reviewed","Uncharacterized FAD-linked oxidoreductase YvdP (EC 1.21.-.-) (Spore coat protein YvdP)","yvdP BSU34520",2,"FAD;Flavoprotein;Oxidoreductase;Reference proteome;Sporulation","9384377; 12562816","","bsu:BSU34520;","COG0277;","WP_003228217.1;","","","545125at2;","PF08031;PF01565;","IPR012951;IPR016166;IPR036318;IPR016167;IPR016169;IPR050416;IPR006094;","BSUB:BSU34520-MONOMER;","","ML","O06997"
"271","O06998",NA,"yvdQ;hypothetical protein","Spore coat protein/ based on similarity","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O06998","reviewed","Uncharacterized protein YvdQ","yvdQ BSU34510",1,"Reference proteome","9384377","","bsu:BSU34510;","ENOG502ZBP3;","NP_391331.1;WP_003243249.1;","","","1934429at2;","PF11553;","IPR021617;IPR012347;","BSUB:BSU34510-MONOMER;","","ML","O06998"
"272","O07002",NA,"yveA;aspartate-proton symporter","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07002","reviewed","Aspartate-proton symporter (L-aspartate transporter)","yveA BSU34470",3,"Amino-acid transport;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport","9384377; 11739774; 12730183","","bsu:BSU34470;","COG0531;","WP_003228228.1;","","","9804700at2;","PF13520;","IPR002293;IPR052962;","BSUB:BSU34470-MONOMER;","","ML","O07002"
"273","O07509","K00931","proJ;glutamate 5-kinase","Biosynthesis/ acquisition of proline","MISC","Amino acid/ nitrogen metabolism","Biosynthesis/ acquisition of amino acids",TRUE,"bs","DAN","O07509","reviewed","Glutamate 5-kinase 2 (EC 2.7.2.11) (Gamma-glutamyl kinase 2) (GK 2)","proJ yohA BSU18470",3,"Amino-acid biosynthesis;ATP-binding;Cytoplasm;Kinase;Nucleotide-binding;Proline biosynthesis;Reference proteome;Transferase","9384377","","bsu:BSU18470;","COG0263;","NP_389729.1;","","","9804434at2;","PF00696;PF01472;","IPR036393;IPR001048;IPR041739;IPR001057;IPR011529;IPR005715;IPR019797;IPR002478;IPR015947;IPR036974;","BSUB:BSU18470-MONOMER;","UPA00098;","ML","K00931"
"274","O07520",NA,"yhaL;sporulation protein YhaL","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07520","reviewed","Sporulation protein YhaL","yhaL BSU09940",2,"Cell membrane;Membrane;Reference proteome;Sporulation;Transmembrane;Transmembrane helix","9384377; 14523133","","bsu:BSU09940;","ENOG50336J9;","NP_388875.1;WP_003233252.1;","","","2454520at2;","PF14147;","IPR025428;","BSUB:BSU09940-MONOMER;","","ML","O07520"
"275","O07521","K03698","yhaM;3'-5' exoribonuclease YhaM","Exoribonucleases","MISC","RNA synthesis and degradation","RNases",TRUE,"bs","DAN","O07521","reviewed","3'-5' exoribonuclease YhaM (EC 3.1.-.-)","yhaM BSU09930",3,"Cobalt;DNA-binding;Exonuclease;Hydrolase;Manganese;Nuclease;Reference proteome;rRNA processing","9579061; 9384377; 12399495; 12060778; 16267290; 19880604","","bsu:BSU09930;","COG3481;","NP_388874.1;WP_003245698.1;","","","9778453at2;","PF01966;","IPR020873;IPR003607;IPR006674;IPR012340;IPR050798;","BSUB:BSU09930-MONOMER;","","ML","K03698"
"276","O07527","K02480","yhcY;sensor histidine kinase","Protein kinases","MISC","Protein synthesis, modification and degradation","Protein modification",TRUE,"bs","DAN","O07527","reviewed","Sensor histidine kinase YhcY (EC 2.7.13.3)","yhcY BSU09320",3,"ATP-binding;Kinase;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Two-component regulatory system","9579061; 9384377; 11717295","","bsu:BSU09320;","COG2203;COG4585;","NP_388813.1;WP_003245750.1;","","","9795828at2;","PF13185;PF02518;PF07730;","IPR003018;IPR029016;IPR036890;IPR003594;IPR050482;IPR011712;","BSUB:BSU09320-MONOMER;","","ML","K02480"
"277","O07528","K02479","yhcZ;transcriptional regulator","Two-component system response regulators","MISC","Regulation of gene expression","Transcription factors and their control",TRUE,"bs","DAN","O07528","reviewed","Uncharacterized transcriptional regulatory protein YhcZ","yhcZ BSU09330",2,"Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system","9579061; 9384377; 11717295","","bsu:BSU09330;","COG2197;","NP_388814.1;WP_003245647.1;","","","9780153at2;","PF00196;PF00072;","IPR011006;IPR016032;IPR001789;IPR000792;IPR039420;","BSUB:BSU09330-MONOMER;","","ML","K02479"
"278","O07530",NA,"yhdB;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07530","reviewed","Uncharacterized protein YhdB","yhdB BSU09350",1,"Reference proteome","9579061; 9384377","","bsu:BSU09350;","ENOG5032XW8;","NP_388816.1;WP_003233373.1;","","","2691588at2;","PF14148;","IPR025431;","BSUB:BSU09350-MONOMER;","","ML","O07530"
"279","O07531",NA,"yhdC;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07531","reviewed","Uncharacterized protein YhdC","yhdC BSU09360",1,"Reference proteome;Signal","9579061; 9384377","","bsu:BSU09360;","ENOG5030CW8;","NP_388817.1;WP_003233371.1;","","","2919731at2;","PF13028;","IPR024987;","BSUB:BSU09360-MONOMER;","","ML","O07531"
"280","O07534",NA,"khtS;hypothetical protein","Potassium uptake/ export","MISC","Homeostasis","Metal ion homeostasis (K, Na, Ca, Mg)",TRUE,"bs","DAN","O07534","reviewed","K(+)/H(+) antiporter modulator KhtS","khtS yhaS BSU09870",2,"Cell membrane;Membrane;Reference proteome","9579061; 9384377; 14987767; 24330391","","bsu:BSU09870;","","NP_388868.1;WP_010886463.1;","","","2942440at2;","","","BSUB:BSU09870-MONOMER;","","ML","O07534"
"281","O07535","K07228","khtT;K(+)/H(+) antiporter subunit KhtT","Metal ion transporter","MISC","Transporters","Transporters/ other",TRUE,"bs","DAN","O07535","reviewed","K(+)/H(+) antiporter subunit KhtT","khtT yhaT BSU09860",3,"3D-structure;Cell membrane;Membrane;Reference proteome","9579061; 9384377; 14987767; 17679694; 24330391; 31061098","","bsu:BSU09860;","COG0490;","NP_388867.1;WP_003233269.1;","","","67547at2;","PF02080;","IPR050144;IPR026278;IPR006037;IPR036721;","BSUB:BSU09860-MONOMER;","","ML","K07228"
"282","O07539",NA,"yhaX;hydrolase","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07539","reviewed","Stress response protein YhaX","yhaX BSU09830",2,"3D-structure;Reference proteome;Stress response","9579061; 9384377; 10568751; 11988534","","bsu:BSU09830;","COG0561;","NP_388864.2;WP_003233277.1;","","","9790031at2;","PF08282;","IPR000150;IPR036412;IPR006379;IPR023214;","BSUB:BSU09830-MONOMER;","","ML","O07539"
"283","O07544",NA,"yheC;endospore coat-associated protein YheC","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07544","reviewed","Endospore coat-associated protein YheC","yheC BSU09780",2,"Membrane;Reference proteome;Sporulation","9579061; 9384377","","bsu:BSU09780;","COG0189;","","","","7869153at2;","PF14398;","IPR013815;IPR026838;","BSUB:BSU09780-MONOMER;","","ML","O07544"
"284","O07545",NA,"yheD;endospore coat-associated protein YheD","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07545","reviewed","Endospore coat-associated protein YheD","yheD BSU09770",3,"Membrane;Reference proteome;Sporulation","9579061; 9384377; 19383706; 15231775","","bsu:BSU09770;","COG0189;","WP_003245015.1;","","","7869153at2;","PF14398;","IPR026838;","BSUB:BSU09770-MONOMER;","","ML","O07545"
"285","O07547",NA,"yheF;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07547","reviewed","Uncharacterized protein YheF","yheF BSU09740",1,"Reference proteome","9579061; 9384377","","bsu:BSU09740;","","NP_388855.1;WP_003245136.1;","","","2897087at2;","","","BSUB:BSU09740-MONOMER;","","ML","O07547"
"286","O07566","K18653","ntdA;NTD biosynthesis operon protein NtdA","Biosynthesis of antibacterial compounds","MISC","Additional metabolic pathways","Miscellaneous metabolic pathways",TRUE,"bs","DAN","O07566","reviewed","3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)","ntdA yhjL BSU10550",5,"3D-structure;Aminotransferase;Antibiotic biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase","9579061; 9384377; 14612444; 17056753; 23586652; 24097983","","bsu:BSU10550;","COG0399;","NP_388936.1;WP_003245503.1;","","2.6.1.104;","9810913at2;","PF01041;PF22127;","IPR000653;IPR054367;IPR015424;IPR015421;IPR015422;","BSUB:BSU10550-MONOMER;MetaCyc:BSU10550-MONOMER;","UPA01036;","ML","K18653"
"287","O07571",NA,"yhjQ;cysteine-rich protein YhjQ","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07571","reviewed","Uncharacterized cysteine-rich protein YhjQ","yhjQ BSU10600",1,"3D-structure;Reference proteome","9384377","","bsu:BSU10600;","ENOG5032SB1;","NP_388941.1;WP_009966950.1;","","","5396211at2;","PF03860;","IPR005560;IPR044543;","BSUB:BSU10600-MONOMER;","","ML","O07571"
"288","O07572",NA,"yhjR;hypothetical protein","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07572","reviewed","Uncharacterized protein YhjR","yhjR BSU10610",1,"Reference proteome","9579061; 9384377","","bsu:BSU10610;","COG1633;","NP_388942.1;WP_003245806.1;","","","573482at2;","PF02915;","IPR009078;IPR003251;","BSUB:BSU10610-MONOMER;","","ML","O07572"
"289","O07599",NA,"yhfA;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07599","reviewed","Uncharacterized membrane protein YhfA","yhfA BSU10080",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9579061; 9384377","","bsu:BSU10080;","COG3069;","NP_388889.1;WP_003233218.1;","","","8641791at2;","","","BSUB:BSU10080-MONOMER;","","ML","O07599"
"290","O07611",NA,"yhfM;hypothetical protein","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07611","reviewed","Uncharacterized protein YhfM","yhfM BSU10280",1,"Reference proteome;Signal","9579061; 9384377","","bsu:BSU10280;","ENOG5030CIX;","NP_388909.1;WP_003245187.1;","","","2905447at2;","","","BSUB:BSU10280-MONOMER;","","ML","O07611"
"291","O07614",NA,"yhfO;N-acetyltransferase YhfO",NA,"MISC","Poorly characterized/ putative enzymes",NA,TRUE,"bs","DAN","O07614","reviewed","Uncharacterized N-acetyltransferase YhfO (EC 2.3.1.-)","yhfO BSU10310",2,"Acyltransferase;Reference proteome;Transferase","9579061; 9384377","","bsu:BSU10310;","COG0456;","NP_388912.1;WP_003233166.1;","","","9792929at2;","PF00583;","IPR016181;IPR050832;IPR000182;","BSUB:BSU10310-MONOMER;","","ML","O07614"
"292","O07622",NA,"yhfW;rieske 2Fe-2S iron-sulfur protein YhfW","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07622","reviewed","Putative Rieske 2Fe-2S iron-sulfur protein YhfW (EC 1.-.-.-)","yhfW BSU10390",2,"2Fe-2S;Disulfide bond;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome","9384377","","bsu:BSU10390;","COG0665;COG0723;","NP_388920.1;WP_003245031.1;","","","9767869at2;","PF01266;PF00355;","IPR006076;IPR036188;IPR017941;IPR036922;IPR005805;IPR038010;","BSUB:BSU10390-MONOMER;","","ML","O07622"
"293","O07634",NA,"ylaJ;lipoprotein","Additional germination proteins","MISC","Sporulation","Germination",TRUE,"bs","DAN","O07634","reviewed","Probable spore germination lipoprotein YlaJ","ylaJ BSU14800",3,"Germination;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal","9384377; 26731423; 28333204","","bsu:BSU14800;","ENOG5030RSQ;","NP_389363.1;WP_003232269.1;","","","2381329at2;","PF09580;","IPR014247;IPR019076;","BSUB:BSU14800-MONOMER;","","ML","O07634"
"294","O07635","K07175","ylaK;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07635","reviewed","Protein PhoH2 (EC 3.1.-.-) (EC 5.6.2.5) (Protein YlaK) (RNA 5'-3' helicase PhoH2)","ylaK BSU14810",3,"ATP-binding;GTP-binding;Helicase;Hydrolase;Isomerase;Magnesium;Metal-binding;Nuclease;Nucleotide-binding;Reference proteome","9384377","","bsu:BSU14810;","COG1875;","NP_389364.1;WP_003245272.1;","","","9773137at2;","PF02562;PF13638;","IPR027417;IPR003714;IPR051451;IPR029060;IPR002716;","BSUB:BSU14810-MONOMER;","","ML","K07175"
"295","O07637","K01425","ylaM;glutaminase","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07637","reviewed","Glutaminase 2 (EC 3.5.1.2)","glsA2 ylaM BSU14830",3,"Hydrolase;Reference proteome","9384377; 18459799","","bsu:BSU14830;","COG2066;","","","3.5.1.2;","9788822at2;","PF04960;","IPR012338;IPR015868;","BSUB:BSU14830-MONOMER;","","ML","K01425"
"296","O07919","K06440","yraG;spore coat protein F","Spore coat protein/ based on similarity","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07919","reviewed","Spore coat protein F-like protein YraG","yraG BSU26950",1,"Reference proteome;Sporulation","9141695; 9308178; 9384377","","bsu:BSU26950;","ENOG50347MA;","NP_390572.1;WP_003229845.1;","","","1913674at2;","","IPR012347;IPR012851;","BSUB:BSU26950-MONOMER;","","ML","K06440"
"297","O07949",NA,"yraF;spore coat protein F","Spore coat protein/ based on similarity","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O07949","reviewed","Spore coat protein F-like protein YraF","yraF BSU26960",1,"Reference proteome;Sporulation","9141695; 9308178; 9384377","","bsu:BSU26960;","COG5577;","NP_390573.1;WP_009967868.1;","","","2901397at2;","PF07875;","IPR012347;IPR012851;","BSUB:BSU26960-MONOMER;","","ML","O07949"
"298","O08394","K14338","yetO;bifunctional P-450/NADPH-P450 reductase 1","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O08394","reviewed","Bifunctional cytochrome P450/NADPH--P450 reductase 1 (CYP102A2) (Fatty acid hydroxylase CypD) (Flavocytochrome P450 102A2) [Includes: Cytochrome P450 102A2 (EC 1.14.14.1); NADPH--cytochrome P450 reductase (EC 1.6.2.4)]","cypD cyp102A2 yetO yfnJ BSU07250",5,"Cytoplasm;Electron transport;FAD;Flavoprotein;FMN;Heme;Iron;Metal-binding;Monooxygenase;Multifunctional enzyme;NADP;Oxidoreductase;Reference proteome;Transport","9308178; 9384377; 15375636; 15122913; 15857787; 21048857","","bsu:BSU07250;","COG0369;COG2124;","NP_388606.1;WP_003242884.1;","","","9789468at2;","PF00667;PF00258;PF00175;PF00067;","IPR023206;IPR003097;IPR001128;IPR017972;IPR036396;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR001433;IPR017938;","BSUB:BSU07250-MONOMER;","","ML","K14338"
"299","O08469",NA,"cypA;cytochrome P450","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O08469","reviewed","Cytochrome P450 (EC 1.14.-.-)","cypA CYP107J1 yrdE BSU26740",2,"Heme;Iron;Metal-binding;Monooxygenase;Oxidoreductase;Reference proteome","9287000; 9308178; 9384377","","bsu:BSU26740;","COG2124;","NP_390551.1;WP_003229866.1;","","","9801155at2;","PF00067;","IPR001128;IPR002397;IPR017972;IPR036396;","BSUB:BSU26740-MONOMER;","","ML","O08469"
"300","O30472",NA,"yodL;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O30472","reviewed","Uncharacterized protein YodL","yodL yokX BSU19640",1,"Reference proteome","9734814; 9384377","","bsu:BSU19640;","ENOG50343SB;","NP_389845.2;WP_004399431.1;","","","2894333at2;","PF14191;","IPR025923;","BSUB:BSU19640-MONOMER;","","ML","O30472"
"301","O31435","K08884","prkD;serine/threonine protein kinase","Protein kinases","MISC","Protein synthesis, modification and degradation","Protein modification",TRUE,"bs","DAN","O31435","reviewed","Probable serine/threonine-protein kinase YbdM (EC 2.7.11.1)","ybdM BSU02030",5,"ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase","9384377","","bsu:BSU02030;","COG0515;","NP_388085.1;WP_003234892.1;","","","9788659at2;","PF00069;","IPR011009;IPR000719;IPR017441;","BSUB:BSU02030-MONOMER;","","ML","K08884"
"302","O31442",NA,"ybeF;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31442","reviewed","Uncharacterized protein YbeF","ybeF BSU02150",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU02150;","ENOG5032900;","NP_388097.1;WP_003234879.1;","","","2933944at2;","PF10852;","IPR020258;","BSUB:BSU02150-MONOMER;","","ML","O31442"
"303","O31451",NA,"ybfJ;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31451","reviewed","Uncharacterized protein YbfJ","ybfJ BSU02250",1,"Reference proteome","9384377","","bsu:BSU02250;","","NP_388107.1;WP_003246434.1;","","","2909448at2;","PF10794;","IPR019730;IPR013783;","BSUB:BSU02250-MONOMER;","","ML","O31451"
"304","O31473","K09967","ycgI;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31473","reviewed","Uncharacterized protein YcgI","ycgI BSU03120",1,"Reference proteome","9384377; 10568751; 19383706","","bsu:BSU03120;","COG3665;","NP_388194.3;WP_003246345.1;","","","9772660at2;","PF09347;","IPR018959;","BSUB:BSU03120-MONOMER;","","ML","K09967"
"305","O31479",NA,"gerKD;hypothetical protein","Germinant receptors","MISC","Sporulation","Germination",TRUE,"bs","DAN","O31479","reviewed","Uncharacterized protein YczF","yczF BSU03690",1,"Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix","9384377","","bsu:BSU03690;","","NP_388251.1;WP_003246546.1;","","","2889637at2;","","","BSUB:BSU03690-MONOMER;","","ML","O31479"
"306","O31496",NA,"ydzH;hypothetical protein","Newly identified sporulation proteins (based on transcription profiling)","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31496","reviewed","Uncharacterized protein YdzH","ydzH BSU05520",1,"Reference proteome","9384377","","bsu:BSU05520;","","NP_388433.1;WP_003244342.1;","","","2899658at2;","PF10676;","IPR019618;","BSUB:BSU05520-MONOMER;","","ML","O31496"
"307","O31510",NA,"yeeK;spore coat protein YeeK","Spore coat proteins","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31510","reviewed","Spore coat protein YeeK","yeeK BSU06850",3,"Direct protein sequencing;Reference proteome;Repeat;Sporulation","9384377; 10714992; 19060142","","bsu:BSU06850;","","WP_003244206.1;","","","","","","BSUB:BSU06850-MONOMER;","","ML","O31510"
"308","O31513",NA,"yesJ;N-acetyltransferase YesJ","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31513","reviewed","Uncharacterized N-acetyltransferase YesJ (EC 2.3.1.-)","yesJ yeeN yfxC yfxD BSU06920",2,"Acyltransferase;Reference proteome;Transferase","9384377","","bsu:BSU06920;","COG0454;","NP_388573.1;WP_003244053.1;","","","6382410at2;","PF00583;","IPR016181;IPR050832;IPR000182;","BSUB:BSU06920-MONOMER;","","ML","O31513"
"309","O31514",NA,"yesK;hypothetical protein","Sporulation proteins/ other","MISC","Sporulation","Sporulation proteins",TRUE,"bs","DAN","O31514","reviewed","Uncharacterized protein YesK","yesK BSU06930",1,"Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix","9384377","","bsu:BSU06930;","","NP_388574.2;WP_009966766.1;","","","2892238at2;","PF14150;","IPR025434;","BSUB:BSU06930-MONOMER;","","ML","O31514"
