gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0231	127997	128308	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1331.0075155324805	25367	264.0	1.0	4.535e-84	NC_011421_p193	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	25367	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0232	128346	128501	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.2689892523610185	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0233	128467	128640	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-66.36460283831565	27323	139.0	1.0	1.5529999999999997e-41	KY368639_p190	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	27323	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0234	128671	128907	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-214.85938037670928	27642	207.0	1.0	1.041e-64	KY368639_p191	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	27642	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0235	128891	129175	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1320.080967677074	20860	225.0	1.0	8.172e-71	KY368639_p192	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	20860	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0236	129189	129470	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-3009.300785605109	4502	94.0	0.529	2.347e-22	p260815 VI_06147	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	4502	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0237	129467	129838	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1107.0625357817562	23901	299.0	1.0	1.137e-95	NC_011421_p199	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	23901	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0238	129841	130092	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-161.3517714981784	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0239	130118	130468	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-2087.454715465725	27114	299.0	1.0	4.502e-96	NC_011421_p201	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	27114	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0240	130462	130848	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-239.40144778372087	30293	323.0	1.0	4.139e-104	KY368639_p197	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	30293	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0241	130939	131304	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-5478.326970743701	25858	256.0	1.0	7.589e-81	NC_011421_p202	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	25858	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0242	131393	131590	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1.5868506022187991	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0243	131687	131791	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-3.5027070485868688	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0244	131848	132165	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-8.414014642128892	29850	182.0	1.0	1.5350000000000001e-55	NC_011421_p203	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	29850	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0245	132303	132208	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-2.966066142511109	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0246	132379	132278	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1.2144100734547405	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0247	132415	132720	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-507.20716049005824	17904	273.0	1.0	2.09e-87	KY368639_p199	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17904	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0248	132692	133372	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-857452.0262310737	1007	263.0	0.6	2.647e-81	NC_011421_p2	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	1007	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0249	133394	133678	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-391.01738540892575	12694	218.0	1.0	2.418e-68	KY368639_p201	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	12694	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0250	133711	133818	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.0825876511093344	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0251	133800	133994	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-13.940680172427832	17003	170.0	1.0	2.226e-52	KY368639_p202	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17003	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0252	134107	134199	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-8.804059482215578	17924	71.0	1.0	1.967e-18	NC_011421_p5	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17924	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0253	134202	134780	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-984863.8721652112	17471	431.0	1.0	3.518e-140	KY368639_p6	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17471	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0254	134782	135549	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-20051402.017358664	16973	618.0	1.0	8.558e-204	KY368639_p7	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	16973	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0255	135551	136612	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-174101566.1758562	17555	893.0	1.0	4.724e-297	KY368639_p8	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17555	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0256	136810	136721	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.0784633052372525	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0257	136800	137033	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-38.43733238788004	20125	205.0	1.0	4.808e-64	KY368639_p9	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	20125	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0258	137026	137154	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-2.642387280943136	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0259	137170	137634	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-210.820768210646	18206	401.0	1.0	1.058e-130	NC_022761_p211	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	18206	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0260	137760	138026	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-7.732244670874811	18662	224.0	1.0	1.14e-70	NC_011421_p10	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	18662	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0261	138132	138404	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-59.394173476280585	23541	219.0	1.0	7.673e-69	NC_011421_p11	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	23541	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0262	138420	138578	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.3049809764895421	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0263	138571	139281	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-905604.9078641529	12391	385.0	0.793	2.1560000000000002e-123	NC_022761_p214	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	12391	PHANOTATE_1.5.1	CDS	#a861e3	transcriptional regulator	transcription regulation	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0264	139355	139480	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-3.068863255162638	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0265	139496	139792	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-363.0780862314884	15311	218.0	1.0	2.258e-68	NC_011421_p13	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	15311	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0266	139891	140121	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-61.18056123289713	9630	123.0	0.776	1.294e-35	KY368639_p15	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	9630	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0267	140244	140528	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-162.57169409367955	17077	233.0	1.0	2.014e-73	KY368639_p16	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17077	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0268	140667	141047	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-4889.672762606816	17578	319.0	1.0	6.432999999999999e-103	KY368639_p17	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17578	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0269	141051	141404	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-4165.2511701529365	16911	292.0	1.0	1.201e-93	KY368639_p18	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	16911	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0270	141379	141504	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.1315593070236153	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0271	141519	141644	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.0928153802909012	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0272	142093	141698	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-397.60991025513215	9647	278.0	0.996	2.0659999999999998e-88	NC_022761_p20	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	9647	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0273	142250	142143	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.0702658135183003	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0274	142754	142278	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-220621.668015404	15997	340.0	1.0	1.654e-109	NC_022761_p21	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	15997	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0275	143034	142873	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1.480321255668688	20536	130.0	1.0	9.785e-39	NC_022761_p22	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	20536	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0276	143126	143031	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.058757506951748	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0277	143824	143156	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-1687911.4226738948	17704	466.0	0.989	1.074e-151	NC_022761_p23	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	17704	PHANOTATE_1.5.1	CDS	#838383	kinase	other	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0278	143967	143827	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-4.479041543093496	27002	125.0	1.0	5.731e-37	NC_022761_p24	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	27002	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0279	144106	143984	-	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-0.3248037808370271	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0280	144108	144224	+	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome	-2.1255559153878765	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
