target	query	e-value	score	length	start	end	hmmDB
NC_019487.1_Bacillus_phage_SP10_complete_genome_176	pVOG0086	1.1e-48	161.9	181	5	176	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_177	pVOG4730	1.2e-38	128.5	123	1	116	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_178	pVOG2368	1.2e-190	317.4	701	23	382	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_178	pVOG2368	1.2e-190	322.1	701	382	699	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_179	pVOG4562	4.9e-71	235.9	368	27	359	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_180	pVOG7234	1.1e-89	296.5	219	1	215	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_184	pVOG7030	9.9e-37	121.3	81	1	80	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_185	pVOG7031	1.4e-100	332.3	213	1	212	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_186	pVOG7032	3.9e-73	241.3	172	1	168	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_188	pVOG0090	1e-32	109.4	638	30	194	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_188	pVOG4803	3e-32	107.8	638	322	542	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_189	pVOG7906	4.1e-44	145.4	123	7	106	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_19	pVOG5666	3.8e-51	168.5	188	1	118	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_190	pVOG0092	7.7e-58	192.2	383	7	253	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_191	pVOG7033	5.9e-60	193.6	150	1	149	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_192	pVOG0094	2.2e-21	72.8	107	7	100	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_193	pVOG0026	4.6e-116	385.2	895	200	856	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_194	pVOG7034	1.3e-31	104.4	57	1	56	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_195	pVOG0095	3.1e-47	156.8	173	6	163	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_196	pVOG0133	7.8e-45	140.3	343	24	248	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_198	pVOG0028	1.4e-42	142.4	322	2	287	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_2	pVOG7810	2.7e-46	152.1	76	1	75	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_200	pVOG0018	5.5e-68	226.1	424	16	422	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_201	pVOG6523	1.6e-44	146.9	110	1	109	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_202	pVOG0098	1.4e-44	149.0	182	1	178	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_206	pVOG0100	2.1e-279	925.8	844	3	837	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_209	pVOG5720	2.3e-113	376.2	363	1	356	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_210	pVOG5860	3.1e-60	199.7	183	1	177	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_212	pVOG0101	2.5e-84	278.3	207	2	204	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_217	pVOG6512	6.9e-41	134.7	96	4	94	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_218	pVOG0102	1.9e-36	121.1	92	1	91	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_220	pVOG5148	5.2e-113	372.9	318	3	244	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_221	pVOG0103	1.3e-53	177.1	157	4	153	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_222	pVOG6140	2.3e-40	133.3	93	1	92	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_233	pVOG11011	1.1e-59	196.0	140	7	137	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_236	pVOG10066	5.6e-51	167.6	94	1	91	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_237	pVOG6060	1.4e-40	134.2	88	1	86	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_27	pVOG5222	1e-47	157.8	130	4	129	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_37	pVOG7539	7.6e-34	111.6	56	1	55	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_38	pVOG5383	3.3e-47	155.7	104	1	101	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_43	pVOG10068	4.1e-46	151.7	97	4	96	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_44	pVOG5880	4.5e-42	138.8	105	1	104	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_45	pVOG10063	3.8e-59	194.5	114	1	113	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_46	pVOG0045	2.7e-27	92.0	86	1	84	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_50	pVOG3003	1.9e-80	266.4	284	10	283	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_56	pVOG6930	4.6e-40	132.5	99	1	97	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_59	pVOG0046	6.7e-32	104.3	94	2	90	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_60	pVOG10257	4.6e-47	154.7	88	1	86	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_61	pVOG0047	2e-33	111.4	91	1	90	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_85	pVOG0048	3e-151	501.8	597	2	595	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_88	pVOG0049	6.4e-113	374.4	503	20	501	PVOG
NC_019487.1_Bacillus_phage_SP10_complete_genome_93	pVOG0050	1.7e-48	160.8	142	1	126	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_113	pVOG0050	6.3e-43	142.3	177	2	168	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_114	pVOG4562	2.7e-67	223.6	350	15	329	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_115	pVOG2368	1.5e-159	294.7	699	379	697	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_115	pVOG2368	1.5e-159	242.5	699	42	379	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_116	pVOG4730	1.7e-23	79.6	140	1	125	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_120	pVOG6513	1.6e-83	277.4	563	7	557	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_13	pVOG0356	4.9e-27	69.0	988	714	945	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_133	pVOG4714	3e-28	95.2	178	1	170	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_155	pVOG0368	3.1e-76	253.3	402	4	400	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_156	pVOG4579	1.4e-62	179.4	566	286	554	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_162	pVOG10904	2.1e-25	85.8	185	40	177	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_163	pVOG0373	9e-43	142.8	383	50	379	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_18	pVOG3723	5.6e-33	110.5	198	3	178	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_186	pVOG4575	4.6e-33	111.6	371	9	353	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_188	pVOG4585	1e-18	64.1	183	7	169	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_189	pVOG4791	8.3e-28	94.2	231	3	216	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_19	pVOG5530	2.3e-48	161.5	555	6	550	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_191	pVOG3262	3.2e-28	94.9	562	49	512	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_196	pVOG8687	3.2e-35	118.4	652	311	601	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_200	pVOG0377	5.6e-84	279.3	406	5	405	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_201	pVOG0157	6.4e-40	133.1	245	2	167	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_204	pVOG1384	7.8e-36	118.8	215	27	213	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_206	pVOG5148	1e-96	319.7	241	1	238	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_208	pVOG0382	4.8e-122	384.7	768	8	564	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_213	pVOG1379	4.5e-55	183.6	472	58	461	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_231	pVOG0384	2e-78	260.4	701	4	377	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_238	pVOG3281	7.8e-36	120.3	388	2	384	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_254	pVOG0101	9e-78	256.9	209	1	203	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_255	pVOG3102	4.4e-101	142.8	750	410	742	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_255	pVOG3102	4.4e-101	199.3	750	28	407	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_26	pVOG0348	8.3e-63	208.0	912	1	908	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_261	pVOG0058	1.8e-63	210.7	443	74	439	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_264	pVOG0364	5.2e-22	74.3	424	280	402	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_265	pVOG5068	2e-30	102.2	318	180	300	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_266	pVOG5068	1.8e-22	71.8	334	177	297	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_27	pVOG0154	1.5e-38	128.9	140	1	139	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_275	pVOG3272	5.8e-25	79.8	422	20	357	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_279	pVOG0369	2.4e-98	326.3	666	20	648	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_282	pVOG1382	5.7e-38	127.1	176	2	165	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_286	pVOG0372	3.3e-103	342.8	682	21	678	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_304	pVOG0351	2.3e-23	79.1	187	4	132	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_34	pVOG4579	6.8e-76	194.1	495	220	487	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_34	pVOG4579	6.8e-76	65.2	495	17	203	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_35	pVOG5068	5.7e-28	91.1	303	184	298	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_36	pVOG0362	5.6e-61	199.4	391	13	387	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_41	pVOG3246	1.5e-57	112.9	642	326	628	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_41	pVOG3246	1.5e-57	84.4	642	37	302	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_43	pVOG3249	1.3e-30	98.5	632	144	401	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_45	pVOG4548	8.1e-25	83.8	478	85	464	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_63	pVOG0103	1.7e-53	176.7	155	1	144	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_71	pVOG4593	1.4e-67	224.4	269	8	267	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_78	pVOG4579	1.9e-76	197.3	588	305	572	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_79	pVOG0354	4.6e-63	209.6	349	4	348	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_81	pVOG0354	1.2e-76	254.5	922	231	919	PVOG
NC_043027.1_Bacillus_virus_PBS1_complete_genome_87	pVOG0048	4.6e-88	292.9	591	2	562	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_10	pVOG6083	2.8e-71	236.3	327	22	270	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_100	pVOG0085	1.3e-36	122.2	246	4	206	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_102	pVOG0129	3.3e-35	117.3	122	3	117	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_103	pVOG1183	5.8e-23	77.9	93	1	91	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_104	pVOG0086	2.1e-65	216.5	185	1	179	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_106	pVOG4730	2.4e-46	153.5	123	1	121	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_107	pVOG2368	8.7e-197	329.7	700	381	698	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_107	pVOG2368	8.7e-197	331.3	700	20	381	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_108	pVOG5222	4.7e-46	152.6	133	10	126	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_109	pVOG5664	4.4e-23	77.3	60	5	55	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_110	pVOG4562	6.6e-71	235.6	328	9	318	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_112	pVOG5148	3.6e-59	196.6	260	5	251	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_116	pVOG5436	4.4e-28	94.0	71	1	70	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_117	pVOG0131	1.1e-117	388.5	258	1	244	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_118	pVOG0094	4.2e-30	100.9	98	1	97	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_119	pVOG0026	1.9e-143	475.5	1102	253	1042	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_120	pVOG0095	3.5e-66	218.4	169	3	159	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_121	pVOG0133	1.9e-138	458.4	423	1	421	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_122	pVOG5950	7.4e-24	79.3	404	1	69	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_123	pVOG0134	1.4e-52	173.1	123	6	119	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_124	pVOG0098	4.9e-80	264.9	212	1	210	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_125	pVOG0136	4.3e-29	97.1	106	15	104	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_127	pVOG0139	3.1e-124	410.4	315	3	310	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_128	pVOG5331	4.3e-26	87.6	89	2	86	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_129	pVOG4570	7.7e-99	328.0	437	5	430	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_130	pVOG5166	3.3e-35	117.6	126	1	123	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_131	pVOG0142	2.4e-64	212.7	204	5	186	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_132	pVOG4767	2.4e-18	62.7	67	1	66	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_133	pVOG0143	6.5e-109	359.7	239	1	236	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_134	pVOG5314	7.8e-79	260.3	184	2	181	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_135	pVOG0144	1.8e-64	212.9	176	6	172	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_137	pVOG0145	6.9e-88	291.0	282	1	281	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_139	pVOG0043	1.3e-105	348.5	243	3	241	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_140	pVOG4581	1.8e-23	79.7	159	3	155	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_141	pVOG4737	4e-39	130.9	177	8	175	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_144	pVOG5140	1.4e-62	207.8	243	9	242	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_147	pVOG3553	1e-22	77.2	73	5	71	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_150	pVOG0052	4.3e-64	212.7	344	5	312	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_151	pVOG5437	2.8e-24	81.6	76	1	74	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_155	pVOG9332	2.6e-185	140.1	402	1	75	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_155	pVOG9332	2.6e-185	483.5	402	75	401	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_164	pVOG1013	3.8e-135	446.8	361	5	342	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_165	pVOG5208	3.3e-37	122.9	104	10	103	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_166	pVOG4910	8.2e-67	221.1	187	2	183	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_167	pVOG5356	2.1e-23	78.8	54	1	53	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_168	pVOG5220	1.4e-72	239.9	184	1	183	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_169	pVOG5219	1.8e-159	526.4	358	2	344	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_170	pVOG9692	9.3e-23	76.2	40	1	39	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_171	pVOG0705	6.4e-193	638.2	754	55	752	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_177	pVOG10926	1.3e-28	95.8	69	1	68	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_186	pVOG5487	1.4e-39	130.7	83	3	80	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_189	pVOG10562	2e-25	85.3	43	1	40	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_195	pVOG6235	2.8e-27	90.7	152	57	148	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_196	pVOG11011	1.4e-31	105.6	121	1	113	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_197	pVOG5733	5.7e-76	250.7	228	1	160	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_198	pVOG8567	9.6e-76	250.2	183	1	179	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_199	pVOG5860	3.2e-42	140.8	213	5	199	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_207	pVOG10559	1e-33	111.5	63	1	55	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_210	pVOG10560	3e-48	158.8	112	1	111	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_214	pVOG10561	4.4e-31	103.4	83	1	78	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_218	pVOG8469	3.8e-27	91.1	71	15	70	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_227	pVOG10257	3.4e-32	106.9	115	26	112	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_238	pVOG5636	1.2e-48	160.8	126	1	122	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_241	pVOG5546	8.3e-35	115.0	81	1	80	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_26	pVOG0101	1e-85	282.9	207	1	205	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_27	pVOG0048	8e-165	546.5	590	6	580	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_29	pVOG5533	7.2e-43	143.0	255	5	251	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_3	pVOG5636	1.2e-48	160.8	126	1	122	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_30	pVOG0496	9.1e-43	142.6	163	3	159	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_31	pVOG0020	2e-34	114.3	198	4	195	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_32	pVOG0092	6e-109	360.0	312	2	302	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_33	pVOG1177	2.7e-27	88.8	248	8	216	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_35	pVOG3723	3.8e-26	88.1	192	3	183	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_37	pVOG0058	8.8e-53	175.8	236	13	223	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_38	pVOG7076	2.6e-27	91.3	67	1	58	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_40	pVOG0109	1.6e-37	124.3	106	1	103	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_41	pVOG0108	6.4e-65	214.8	254	42	249	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_42	pVOG0107	5.1e-58	193.7	295	30	288	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_43	pVOG0051	2.4e-204	676.9	598	13	595	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_44	pVOG0105	1.6e-44	148.0	140	1	139	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_45	pVOG0104	3.3e-40	132.9	100	10	99	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_46	pVOG5171	1.3e-48	161.4	173	1	169	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_47	pVOG4857	3.5e-24	81.3	88	1	87	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_48	pVOG5172	8.3e-34	112.2	100	1	99	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_49	pVOG0679	1.2e-42	140.9	120	1	114	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_50	pVOG4052	1.1e-22	76.8	110	3	107	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_55	pVOG7814	6.7e-18	61.2	118	5	116	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_57	pVOG0113	1e-36	122.0	110	3	108	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_58	pVOG4556	1.5e-109	363.0	550	49	534	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_59	pVOG4568	4.2e-55	183.4	275	21	267	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_6	pVOG5546	8.3e-35	115.0	81	1	80	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_60	pVOG4858	7.1e-49	156.5	299	2	297	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_61	pVOG0061	3.6e-231	763.9	471	5	466	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_62	pVOG0115	7.5e-26	87.3	82	1	79	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_63	pVOG0064	9.4e-140	461.2	293	9	292	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_64	pVOG0065	1.4e-99	329.2	270	4	262	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_65	pVOG0116	3e-82	271.9	212	4	209	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_66	pVOG0117	2.6e-111	368.2	282	1	279	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_67	pVOG0066	1e-31	105.6	85	3	84	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_68	pVOG0067	8e-238	787.1	570	1	567	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_69	pVOG0068	2.6e-70	231.3	144	1	140	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_70	pVOG4724	5.8e-71	235.2	197	1	196	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_71	pVOG5206	2.4e-35	77.7	193	51	188	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_72	pVOG0069	1.9e-50	167.5	134	6	132	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_73	pVOG0118	3.4e-64	213.0	231	22	229	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_75	pVOG4613	3e-271	455.6	671	1	297	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_75	pVOG4613	3e-271	447.2	671	301	669	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_76	pVOG2278	8.4e-229	757.7	690	14	682	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_77	pVOG5871	0.0	1407.1	1242	1	1236	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_78	pVOG0647	4.5e-226	749.4	971	1	842	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_80	pVOG1024	2e-41	137.8	162	9	158	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_81	pVOG5242	3.5e-54	179.7	160	1	158	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_82	pVOG4717	6.2e-99	327.3	248	1	244	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_83	pVOG0122	8.3e-66	217.5	173	1	169	PVOG
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_84	pVOG4550	8.4e-33	108.5	243	16	229	PVOG
