qseqid	sseqid	qlen	slen	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
sp|Q9KDM7|HPR_HALH5	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0186	192	885	28.571	56	36	1	27	82	542	593	0.67	25.8
sp|P08164|NADE_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0110	272	159	37.209	43	26	1	98	140	61	102	0.68	25.8
sp|P37470|PTH_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0005	188	171	44.444	18	10	0	25	42	50	67	0.68	25.4
sp|Q65NA4|LIPC_BACLD	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0180	212	1500	24.324	74	50	2	47	114	1402	1475	0.68	26.2
sp|Q81FB5|SSPH2_BACCR	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0219	59	176	37.037	27	14	1	11	37	46	69	0.68	22.3
sp|Q81V87|SSPH1_BACAN	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0264	59	112	31.707	41	25	1	3	43	1	38	0.68	22.3
sp|Q9KDM7|HPR_HALH5	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0223	192	188	31.081	74	39	4	52	120	38	104	0.68	25.4
sp|P40868|SP5AC_BACSU	NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_CDS_0026	150	1032	29.245	106	54	4	1	95	854	949	0.68	25
sp|P07860|RPSF_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0058	255	56	38.71	31	13	1	200	230	30	54	0.69	24.3
sp|P10727|SP2AA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0005	117	171	55	20	9	0	5	24	136	155	0.69	24.3
sp|P35150|DACB_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0321	382	133	34.615	26	17	0	353	378	29	54	0.69	26.2
sp|P0A4I3|SP0A_BACCR	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0219	264	96	55.556	18	8	0	78	95	33	50	0.69	25
sp|P0A4I4|SP0A_BACTU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0219	264	96	55.556	18	8	0	78	95	33	50	0.69	25
sp|Q04810|DPAB_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0042	200	362	25.862	58	42	1	10	67	258	314	0.69	25.8
sp|Q45747|CR1DB_BACTU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0224	1160	351	26.027	73	37	2	791	846	162	234	0.69	28.5
sp|A8FB65|SSPK_BACP2	NC_049976.1_Bacillus_phage_Nf_complete_genome_CDS_0018	49	304	33.333	24	16	0	24	47	134	157	0.69	21.9
sp|P0A383|CT1AA_BACTM	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0105	249	689	38.095	42	25	1	116	156	397	438	0.69	26.2
sp|Q81QD4|SP2SB_BACAN	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0138	76	61	50	16	8	0	40	55	45	60	0.69	22.3
sp|C0H450|S5AEB_BACSU	NC_004166.2_Bacteriophage_SPP1_complete_nucleotide_sequence_CDS_0088	116	68	44.444	27	15	0	39	65	35	61	0.69	23.5
sp|Q01368|SP3AB_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0180	171	1500	28	50	36	0	53	102	363	412	0.69	25.4
sp|P24136|OPPD_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0088	358	81	55.556	18	8	0	76	93	26	43	0.7	25
sp|Q04747|SRFAB_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0207	3583	310	55.556	27	12	0	273	299	275	301	0.7	30
sp|B7H965|SP2AB_BACC4	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0100	146	468	30.645	62	37	3	13	74	101	156	0.7	25
sp|B7IWI6|SP2AB_BACC2	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0100	146	468	30.645	62	37	3	13	74	101	156	0.7	25
sp|O05495|YDHD_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0114	420	178	29.032	62	43	1	242	302	72	133	0.7	26.6
sp|P39482|DHG1_PRIMG	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0205	261	777	23.864	88	44	4	12	76	328	415	0.7	26.2
sp|Q45747|CR1DB_BACTU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0174	1160	351	26.027	73	37	2	791	846	162	234	0.7	28.5
sp|P35157|SPMA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0249	196	302	29.63	54	37	1	47	99	81	134	0.7	25.4
sp|Q5KY22|SSPH1_GEOKA	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0150	60	85	34.286	35	21	1	21	53	46	80	0.7	22.3
sp|P16655|DIVIB_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0215	263	885	28.889	45	29	1	184	228	383	424	0.71	26.6
sp|P0A382|CT1AA_BACTI	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0105	249	689	38.095	42	25	1	116	156	397	438	0.71	26.2
sp|Q81QD6|SP2SA_BACAN	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0185	248	76	56.25	16	7	0	27	42	56	71	0.71	24.6
sp|Q5L293|HPR_GEOKA	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0227	201	376	26.154	65	41	2	84	141	240	304	0.71	25.8
sp|P28264|FTSA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0284	440	152	24.638	69	49	2	56	123	2	68	0.72	26.6
sp|P28264|FTSA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0038	440	152	24.638	69	49	2	56	123	2	68	0.72	26.6
sp|O32321|C20AA_BACUF	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0114	753	229	33.333	66	33	4	344	401	50	112	0.72	27.7
sp|Q5L293|HPR_GEOKA	NC_049976.1_Bacillus_phage_Nf_complete_genome_CDS_0019	201	861	23.944	71	51	1	108	178	10	77	0.72	25.8
sp|P02961|SASG_PRIMG	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0117	97	1129	27.119	59	43	0	3	61	705	763	0.73	23.9
sp|P02961|SASG_PRIMG	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0120	97	1129	27.119	59	43	0	3	61	705	763	0.73	23.9
sp|P0A373|CR1BA_BACTK	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0180	1228	1500	23.077	104	69	3	878	973	888	988	0.73	28.9
sp|P52941|SP0A_MOOTA	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0218	256	188	25	88	56	2	171	254	1	82	0.73	25.8
sp|Q04810|DPAB_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0047	200	362	25.862	58	42	1	10	67	258	314	0.73	25.8
sp|Q45706|CR8CA_BACTP	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0171	1160	122	38.889	36	20	1	787	822	51	84	0.73	27.3
sp|Q81QD6|SP2SA_BACAN	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0125	248	696	30.769	39	26	1	42	80	643	680	0.73	26.2
sp|A4ISB5|SSPH3_GEOTN	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0094	65	142	29.73	37	26	0	28	64	71	107	0.73	22.7
sp|O07520|YHAL_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0078	70	589	42.105	19	11	0	8	26	96	114	0.73	23.1
sp|P0A374|CR1BA_BACTE	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0180	1228	1500	23.077	104	69	3	878	973	888	988	0.73	28.9
sp|Q6HNK1|SSPH_BACHK	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0264	59	112	31.707	41	25	1	3	43	1	38	0.73	22.3
sp|Q73DN1|SSPH1_BACC1	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0264	59	112	31.707	41	25	1	3	43	1	38	0.73	22.3
sp|P08874|ABRB_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0120	96	1129	25.455	55	41	0	22	76	679	733	0.74	23.9
sp|P35150|DACB_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0235	382	277	36.585	41	26	0	341	381	153	193	0.74	26.6
sp|A6LRL7|SP2AB_CLOB8	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0157	143	470	34.091	44	24	2	84	123	14	56	0.74	25
sp|P96619|YDCC_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0126	338	150	31.481	54	26	2	176	229	40	82	0.74	26.2
sp|B7HAY0|TLP_BACC4	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0144	65	562	41.667	36	16	1	12	42	128	163	0.74	22.7
sp|Q81AG2|TLP_BACCR	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0144	65	562	41.667	36	16	1	12	42	128	163	0.74	22.7
sp|P08164|NADE_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0079	272	437	24.706	85	58	2	159	243	137	215	0.75	26.2
sp|P13801|SP2G_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0096	309	502	31.579	38	26	0	137	174	165	202	0.75	26.6
sp|P39773|GPMI_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0136	511	377	26.19	84	39	3	146	207	42	124	0.75	27.3
sp|P45870|RACA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0150	184	70	37.5	24	15	0	154	177	37	60	0.75	23.9
sp|A7GRZ1|TGL_BACCN	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	38.298	47	27	2	160	205	522	567	0.75	26.6
sp|O06720|GERPB_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0225	77	118	29.268	41	26	1	10	50	24	61	0.75	23.1
sp|O06722|YISI_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0031	56	911	28.205	39	21	1	2	40	601	632	0.75	22.3
sp|P27643|SP5K_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0155	322	906	25.253	99	58	5	99	188	421	512	0.75	26.6
sp|P33657|RPSE_CLOAB	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0246	235	264	39.474	38	22	1	183	219	213	250	0.75	25.8
sp|P37549|SSPF_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0023	61	554	63.636	11	4	0	22	32	94	104	0.75	22.7
sp|Q9K5N0|SOJ_HALH5	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0188	253	219	26.866	67	37	2	12	66	136	202	0.75	25.8
sp|P24141|OPPA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	545	265	25.373	67	42	1	459	525	44	102	0.76	27.3
sp|P11065|HPR_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0171	203	376	33.333	36	24	0	84	119	240	275	0.76	25.8
sp|P37475|SP2E_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0228	827	91	34.884	43	24	1	592	634	10	48	0.76	26.6
sp|P45858|MMGD_BACSU	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0172	372	391	29.762	84	58	1	30	113	228	310	0.76	26.9
sp|P42061|APPA_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0187	543	423	27.778	108	56	4	99	201	164	254	0.76	27.3
sp|P49785|SP3AH_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0230	218	651	40	40	22	1	57	94	182	221	0.76	25.8
sp|O32723|SP2AA_LYSSH	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0068	117	127	28.302	53	30	1	34	78	7	59	0.76	23.9
sp|P59104|CWLJ_OCEIH	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0009	141	255	34.615	26	17	0	115	140	8	33	0.76	24.6
sp|P13801|SP2G_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0211	309	667	23.171	82	56	2	43	117	87	168	0.77	26.6
sp|P37956|SPL_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0012	342	298	36.207	58	35	2	286	341	127	184	0.77	26.6
sp|Q9ZN78|AFRP_STRGR	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0203	276	186	28.571	42	29	1	48	88	4	45	0.77	25.8
sp|C0SP90|YTHA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0130	443	632	20.144	139	99	3	167	297	217	351	0.77	27.3
sp|Q08787|SRFAC_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0163	1275	88	50	24	12	0	1070	1093	62	85	0.77	26.9
sp|Q08788|SRFAD_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0186	242	885	32.051	78	29	4	12	82	120	180	0.77	26.2
sp|Q182S9|YICC_CLOD6	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0188	293	352	24.841	157	93	7	51	198	206	346	0.77	26.2
sp|P23261|COTF_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0149	160	67	35.484	31	20	0	24	54	18	48	0.77	23.9
sp|A7GBI7|SSPH1_CLOBL	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0052	65	2285	31.915	47	26	1	19	65	72	112	0.77	22.7
sp|A0A2K4Z9G8|COMPA_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0273	37	700	58.333	12	5	0	13	24	87	98	0.78	21.2
sp|P26905|DPPD_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0167	335	66	38.095	21	13	0	303	323	25	45	0.78	24.6
sp|A6TQ57|SSPH_ALKMQ	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0190	59	74	33.333	48	25	2	7	50	18	62	0.78	21.9
sp|O31625|SPVIF_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0128	84	62	39.286	28	17	0	46	73	17	44	0.78	22.3
sp|O34765|YLBJ_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0175	408	586	32.692	52	32	1	10	61	537	585	0.78	26.9
sp|P07372|SP2D_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0185	343	88	45.833	24	13	0	3	26	14	37	0.78	25
sp|P33658|RPSG_CLOAB	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0020	257	126	22.892	83	52	2	89	165	2	78	0.78	25.4
sp|Q81SD1|SSPH2_BACAN	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0219	59	176	42.857	21	9	1	11	31	46	63	0.78	22.3
sp|Q9K8Z3|MECA2_HALH5	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0020	212	126	34.483	58	36	2	42	97	39	96	0.78	25
sp|Q73AH3|SSPH2_BACC1	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0219	59	176	42.857	21	9	1	11	31	46	63	0.78	22.3
sp|O34327|RAPJ_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0206	373	850	23.026	152	105	4	132	275	429	576	0.79	26.9
sp|P16497|KINA_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0094	606	569	23.301	206	104	9	379	543	356	548	0.79	27.7
sp|P37958|MECA1_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0123	218	108	32.353	34	23	0	149	182	34	67	0.79	24.6
sp|P45855|THL_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0106	393	68	32.5	40	26	1	18	56	6	45	0.79	25
sp|Q08430|KINB_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0129	428	106	24.691	81	50	2	284	355	16	94	0.79	25.8
sp|A7Z0H2|SP5G_BACVZ	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0286	97	347	34.146	41	24	2	56	94	259	298	0.79	23.9
sp|P71088|SP0M_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0220	258	108	61.538	13	5	0	76	88	60	72	0.79	25
sp|P54379|CSGA_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0247	82	58	29.268	41	29	0	16	56	10	50	0.79	22.3
sp|P54379|CSGA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0171	82	109	26.19	42	29	1	5	44	50	91	0.79	23.1
sp|Q97L63|SPLB_CLOAB	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0033	336	69	33.929	56	25	3	204	259	26	69	0.8	24.6
sp|Q07766|DEVS_MYXXD	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0238	214	182	26.923	52	38	0	154	205	76	127	0.8	25.4
sp|A7Z311|HPR_BACVZ	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	203	265	37.5	48	22	4	52	96	220	262	0.8	25.4
sp|O34412|YLBF_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0340	149	681	36.111	36	20	1	115	147	406	441	0.8	25
sp|P26764|RPSF_BACLI	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0189	255	197	27.848	79	51	2	172	247	104	179	0.8	25.8
sp|P57092|C18CA_PAEPP	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0233	695	114	28.947	38	27	0	116	153	2	39	0.8	26.6
sp|P57092|C18CA_PAEPP	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0170	695	114	28.947	38	27	0	116	153	2	39	0.8	26.6
sp|Q65GP2|SSPH_BACLD	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0087	59	96	34.375	32	21	0	27	58	56	87	0.8	21.9
sp|P39065|ACUA_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0169	210	843	22.667	75	57	1	21	94	755	829	0.81	25.8
sp|Q7AKN0|WHIB_STRCO	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0182	87	323	34.483	29	19	0	3	31	84	112	0.81	23.5
sp|P52932|SP0A_PRIMG	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0155	212	422	33.333	45	29	1	2	45	73	117	0.81	25.8
sp|A4IKT9|HPR_GEOTN	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0227	200	376	27.027	37	27	0	84	120	240	276	0.81	25.4
sp|O06717|GERPE_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0327	133	421	34.375	32	14	1	1	32	130	154	0.81	24.6
sp|P11863|COTT_BACSU	NC_011048.1_Bacillus_phage_phi29_complete_genome_CDS_0030	82	108	32	25	17	0	11	35	23	47	0.81	23.1
sp|P15281|SP3D_BACSU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0105	93	45	31.579	38	26	0	3	40	7	44	0.81	22.3
sp|P06222|RPSE_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0136	239	377	33.333	51	22	1	80	130	260	298	0.82	25.8
sp|P28264|FTSA_BACSU	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0033	440	152	24.638	69	49	2	56	123	2	68	0.82	26.2
sp|A7Z8Y2|GPMI_BACVZ	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0034	511	57	35.417	48	25	2	149	196	15	56	0.82	25
sp|A0RHX9|TGL_BACAH	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	37.736	53	31	2	154	205	516	567	0.82	26.2
sp|A4ISB5|SSPH3_GEOTN	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0037	65	142	29.73	37	26	0	28	64	71	107	0.82	22.3
sp|B7HME8|TGL_BACC7	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	37.736	53	31	2	154	205	516	567	0.82	26.2
sp|B9IW43|TGL_BACCQ	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	37.736	53	31	2	154	205	516	567	0.82	26.2
sp|C1EPX7|TGL_BACC3	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	37.736	53	31	2	154	205	516	567	0.82	26.2
sp|P37549|SSPF_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0109	61	161	33.333	45	28	1	7	51	55	97	0.82	22.3
sp|P40420|GLCU_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0155	287	173	39.286	28	17	0	229	256	75	102	0.82	25.8
sp|Q635W3|TGL_BACCZ	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	37.736	53	31	2	154	205	516	567	0.82	26.2
sp|O34816|YKUD_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0238	164	214	28.846	52	37	0	4	55	28	79	0.83	24.6
sp|P11065|HPR_BACSU	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0227	203	376	40.741	27	16	0	84	110	240	266	0.83	25.4
sp|A0RI78|SP2AB_BACAH	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|A9VFH8|SP2AB_BACMK	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|B7HN53|SP2AB_BACC7	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|B7JLS6|SP2AB_BACC0	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|B9IWT7|SP2AB_BACCQ	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|C1EQU8|SP2AB_BACC3	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|C3LIU0|SP2AB_BACAC	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|C3P7L0|SP2AB_BACAA	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|P39043|DPP6_LYSSH	NC_019487.1_Bacillus_phage_SP10_complete_genome_CDS_0026	271	137	26.984	63	40	3	73	135	59	115	0.83	25.4
sp|P42061|APPA_BACSU	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0191	543	423	26.036	169	80	7	99	239	164	315	0.83	27.3
sp|Q635K7|SP2AB_BACCZ	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|Q6B4J5|EXSA_BACCE	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0102	643	390	36.364	44	27	1	4	47	347	389	0.83	27.7
sp|Q6HE93|SP2AB_BACHK	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|Q731M3|SP2AB_BACC1	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|Q81MF4|SP2AB_BACAN	KY368639.1_Bacillus_phage_vB_BsuM-Goe2_complete_genome_CDS_0071	146	265	27.103	107	62	4	39	145	15	105	0.83	24.6
sp|A7Z311|HPR_BACVZ	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0067	203	265	36.957	46	25	2	52	96	220	262	0.83	25.4
sp|B7JKT7|TGL_BACC0	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0109	276	722	37.736	53	31	2	154	205	516	567	0.83	26.2
sp|Q65LS8|HPR_BACLD	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0187	206	423	25.203	123	61	5	39	131	188	309	0.83	25.4
sp|Q9RC82|YPEB_HALH5	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0153	447	83	42.308	26	15	0	221	246	28	53	0.83	25.4
sp|P24556|LYTA_STAAU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0156	481	397	32.5	40	27	0	4	43	310	349	0.84	26.9
sp|P52929|SP0A_BREPA	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0196	212	146	38.596	57	29	2	99	154	28	79	0.84	25
sp|Q03745|CR1EB_BACTA	LT960610.1_Bacillus_phage_SBSphiC_genome_assembly_complete_genome_monopartite_CDS_0218	1174	1500	25	104	67	3	823	918	888	988	0.84	28.9
sp|Q939T0|C34AB_BACTU	NC_001884.1_Bacillus_phage_SPBc2_complete_genome_CDS_0050	123	875	32	50	34	0	37	86	528	577	0.84	24.3
sp|B7HQ80|RACA_BACC7	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0122	180	696	26.667	105	43	6	44	134	122	206	0.84	25.4
sp|B9IZT9|RACA_BACCQ	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0122	180	696	26.667	105	43	6	44	134	122	206	0.84	25.4
sp|Q738S2|RACA_BACC1	NC_011421.1_Bacillus_phage_SPO1_complete_genome_CDS_0122	180	696	26.667	105	43	6	44	134	122	206	0.84	25.4
sp|Q04809|DPAA_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0222	297	182	26.984	63	33	2	1	63	52	101	0.85	25.8
sp|P37558|YABP_BACSU	NC_043027.1_Bacillus_virus_PBS1_complete_genome_CDS_0111	100	118	32	25	17	0	63	87	49	73	0.85	23.5
sp|P71044|SP2Q_BACSU	NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_CDS_0046	283	311	27.778	72	48	1	81	148	1	72	0.85	26.2
