target	product	best_hit	HMM	evalue	score	EC	gene	ORF_start	ORF_end	product_start	product_end	product_length	ORF_length-aa
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_43	terminase large subunit	phrog_675	PHROG	2.2e-253	838.1			24269	26062	20	591	571	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_44	Terminase small subunit	VOG35191	VOG	1.4e-50	167.6			26065	26484	1	139	138	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_45	Hypothetical protein	VOG54911	VOG	3e-42	139.4			26486	26785	10	98	88	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_46	Hypothetical protein	VOG13271	VOG	1.8e-62	206.6			26754	27272	1	171	170	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_47	Membrane protein	VOG33843	VOG	1.1e-32	108.8			27287	27550	1	87	86	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_48	Membrane protein	VOG48026	VOG	4.8e-40	132.2			27672	27971	1	99	98	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_49	Hypothetical protein	VOG53031	VOG	3.4e-48	158.9			27952	28311	1	116	115	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_50	Hemolysin	VOG00793	VOG	2e-47	156.3			28330	28659	1	106	105	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_51	Virion protein 6	VOG03858	VOG	1.8e-35	117.1			28683	28916	1	76	75	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_52	hypothetical	phrog_26265	PHROG	2.5e-54	177.8			28948	29208	1	86	85	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_53	Hypothetical							29210	29341				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_54	Transcriptional regulator	VOG62116	VOG	4.8e-34	113.8			29341	29643	1	100	99	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_55	hypothetical	phrog_18938	PHROG	4.6e-62	204.0			30758	31111	1	117	116	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_56	hypothetical	phrog_32344	PHROG	1.8e-38	127.2			32445	32603	1	52	51	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_57	Portal protein	VOG21960	VOG	2.9e-40	133.1			33521	33850	1	103	102	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_58	portal protein	pVOG4556	PVOG	1.5e-109	363.0			33869	35518	49	534	485	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_59	head maturation protease	phrog_1028	PHROG	2.3e-145	480.8			35597	36421	8	272	264	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_60	Hypothetical protein	VOG47033	VOG	4.3e-75	245.9			36446	37342	1	298	297	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_61	Putative major capsid protein	VOG02554	VOG	3.6e-233	770.9			37492	38904	5	467	462	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_62	Hypothetical protein	VOG03825	VOG	7.4e-29	96.8			39016	39261	1	81	80	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_63	Tail fiber protein	VOG14029	VOG	7.8e-142	468.2			39282	40160	8	292	284	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_64	Virion structural protein	VOG42388	VOG	3.8e-110	363.8			40174	40983	4	262	258	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_65	hypothetical	phrog_1127	PHROG	3e-94	311.1			40973	41608	1	209	208	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_66	Hypothetical protein	VOG02552	VOG	7.9e-119	392.7			41626	42471	1	279	278	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_67	Hypothetical protein	VOG56119	VOG	1.5e-32	108.0			42477	42731	1	84	83	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_68	Putative tail sheath protein	VOG18563	VOG	1.7e-270	894.7			42758	44467	2	568	566	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_69	virion structural protein	phrog_985	PHROG	2e-74	244.6			44530	44961	1	141	140	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_70	L-alanyl-D-glutamate peptidase	phrog_2307	PHROG	4.6e-88	290.8			45104	45694	1	196	195	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_71	Hypothetical protein	VOG27059	VOG	8.9e-62	205.2			45819	46397	1	188	187	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_72	Tail assembly chaperone	VOG55326	VOG	1.5e-64	215.0			46518	46919	6	132	126	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_73	Tail assembly chaperone	VOG19716	VOG	2e-89	296.6			46876	47568	9	229	220	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_74	tail associated lysin	phrog_1047	PHROG	0.0	1480.8			47630	51454	1	1274	1273	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_75	Tail protein with lysin activity	VOG49871	VOG	0.0	541.2			51686	53698	296	668	372	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_76	Tail fiber protein	VOG62194	VOG	7.8e-294	973.0			53718	55787	9	683	674	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_77	tail fiber protein	pVOG5871	PVOG	0.0	1407.1			55791	59516	1	1236	1235	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_78	tail protein	pVOG0647	PVOG	4.5e-226	749.4			59598	62510	1	842	841	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_79	Hypothetical protein	VOG41464	VOG	3.5e-24	80.8			62500	62667	1	54	53	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_80	Tail fiber protein	VOG09149	VOG	1.9e-52	174.6			62674	63159	4	158	154	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_81	Uncharacterized protein R372	VOG11738	VOG	5.9e-58	192.1			63235	63714	2	158	156	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_82	virion structural protein	pVOG4717	PVOG	6.2e-99	327.3			63776	64519	1	244	243	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_83	Hypothetical protein	VOG30887	VOG	3e-70	231.6			64516	65034	1	170	169	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_84	baseplate protein	phrog_975	PHROG	7.1e-100	329.5			65034	65762	1	238	237	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_85	Baseplate J protein	VOG69922	VOG	3.8e-117	388.1			65781	66827	1	347	346	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_86	baseplate protein	phrog_7378	PHROG	2.6e-241	798.9			66844	68346	1	498	497	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_87	minor head protein	phrog_19577	PHROG	1.2e-216	715.5			68372	69649	1	425	424	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_88	virion structural protein	phrog_1394	PHROG	4.2e-71	235.1			69768	70298	1	176	175	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_89	hypothetical	phrog_877	PHROG	0.0	1606.9			70317	73817	1	1165	1164	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_90	Hypothetical protein	VOG20120	VOG	1.3e-22	76.2			73833	74003	1	54	53	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_91	minor head protein	phrog_18412	PHROG	5.2e-90	296.7			74087	74641	1	182	181	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_92	DNA helicase	VOG49055	VOG	0.0	476.1			75015	76784	339	588	249	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_93	Hypothetical protein	VOG46452	VOG	4.6e-46	151.3			76798	76986	1	62	61	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_94	HTH DNA binding protein	VOG23004	VOG	3.3e-235	778.2			77061	78749	1	553	552	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_95	DnaB-like replicative helicase	phrog_19	PHROG	1.6e-92	307.1			78817	80280	4	461	457	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_96	unannotated protein	pVOG4575	PVOG	3.7e-92	305.9			80296	81360	4	350	346	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_97	Exonuclease subunit 2	VOG14822	VOG	3e-158	525.0			81473	83371	1	629	628	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_98	Anti-sigma factor	VOG39803	VOG	5.5e-66	218.5			83368	83955	1	192	191	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_99	DNA primase	VOG21049	VOG	7.6e-66	219.8			83960	85027	2	346	344	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_100	dUTPase	phrog_135	PHROG	5e-43	143.0			85098	85835	2	230	228	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_101	Hypothetical protein	VOG57210	VOG	1.4e-26	89.2			85843	86196	6	108	102	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_102	Hypothetical protein	VOG28845	VOG	1.6e-71	235.1			86183	86548	1	121	120	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_103	hypothetical	phrog_419	PHROG	2.2e-28	95.6			86548	86826	1	92	91	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_104	Protein D14	VOG18492	VOG	2.1e-68	226.4			86830	87384	1	183	182	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_105	Hypothetical protein	VOG50921	VOG	9.8e-41	134.3			87396	87581	1	61	60	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_106	Protein NrdI	VOG08745	VOG	5.2e-48	159.0			87731	88099	1	121	120	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_107	ribonucleoside-diphosphate reductase, class 1b, alpha subunit	TIGR04170	TIGRFAM	0.0	1163.5		nrdE	88089	90188	7	699	692	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_108	Hypothetical protein	VOG12897	VOG	3.1e-54	178.8			90213	90611	7	127	120	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_109	Hypothetical protein	VOG34286	VOG	2.2e-27	91.8			90604	90783	4	59	55	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_110	ribonucleotide-diphosphate reductase subunit beta	PRK09614.1-2	PGAP	1e-150	497.6			90776	91759	3	324	321	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_111	Hypothetical							91762	91998				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_112	Anti-Pycsar protein Apyc1	VOG13996	VOG	5.1e-148	488.8			92100	92879	1	252	251	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_113	Hypothetical protein	VOG35289	VOG	1e-60	199.3			92893	93204	1	103	102	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_114	Hypothetical							93201	93407				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_115	Hypothetical protein	VOG18076	VOG	3.1e-31	103.6			93407	93541	1	44	43	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_116	Hypothetical protein	VOG46882	VOG	2e-33	111.1			93657	93869	1	70	69	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_117	Hypothetical protein	VOG52750	VOG	2.2e-118	390.7			93969	94742	1	244	243	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_118	DNA-binding protein HU	VOG39447	VOG	1.8e-34	114.4			94726	95019	1	97	96	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_119	DNA-directed DNA polymerase	VOG69371	VOG	3.8e-218	88.7			95102	98407	394	473	79	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_120	hypothetical	phrog_1069	PHROG	4.1e-71	234.9			98533	99039	1	161	160	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_121	single strand DNA binding protein	phrog_1867	PHROG	1.3e-146	485.2			99138	100406	1	421	420	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_122	UvsX-like recombinase	phrog_97	PHROG	4.8e-108	358.3			100498	101709	7	400	393	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_123	Hypothetical protein	VOG46449	VOG	1.3e-52	173.2			101748	102116	6	119	113	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_124	RNA polymerase sigma GP34 factor	VOG14326	VOG	7.5e-93	306.9			102100	102735	1	210	209	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_125	Uncharacterized 9.7 kDa protein in cwlL 5'region	VOG13746	VOG	5.7e-35	116.0			102777	103094	6	105	99	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_126	Ig domain containing protein	phrog_1240	PHROG	7.9e-60	197.6			103118	103636	1	157	156	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_127	Exopolyphosphatase	VOG36659	VOG	5.3e-144	475.5			103789	104733	2	311	309	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_128	Hypothetical protein	VOG31169	VOG	1.9e-32	108.1			104777	105043	1	86	85	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_129	DNA repair exonuclease	VOG71086	VOG	5.3e-145	480.2			105068	106378	3	435	432	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_130	Hypothetical protein	VOG05945	VOG	9.4e-47	154.9			106389	106766	1	124	123	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_131	Hypothetical protein	VOG56391	VOG	6.2e-74	244.3			106865	107476	6	199	193	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_132	Hypothetical protein	VOG30935	VOG	6.9e-29	96.4			107488	107688	1	66	65	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_133	Protein cII	VOG41599	VOG	1.6e-113	375.0			107757	108473	1	236	235	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_134	Hypothetical protein	VOG32137	VOG	6.4e-91	299.7			108544	109095	1	182	181	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_135	hypothetical	phrog_2261	PHROG	1.3e-73	242.9			109208	109735	4	174	170	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_136	Hypothetical protein	VOG65757	VOG	1.4e-52	173.4			109735	110013	1	92	91	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_137	Hypothetical protein	VOG55752	VOG	1.7e-109	362.0			110010	110855	1	281	280	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_138	Hypothetical							110866	111402				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_139	Hypothetical protein	VOG38447	VOG	2.9e-109	360.5			111702	112430	1	241	240	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_140	Virion structural protein	VOG19346	VOG	1.5e-66	219.5			112498	112974	1	158	157	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_141	DNA binding protein	VOG49692	VOG	9.1e-52	172.2			113093	113623	10	175	165	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_142	Hypothetical protein	VOG54306	VOG	2.4e-36	120.1			113629	113781	1	50	49	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_143	Hypothetical protein	VOG57756	VOG	9.4e-83	271.3			113781	114158	1	125	124	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_144	Hypothetical protein	VOG10151	VOG	8.3e-80	264.4			114299	115027	1	242	241	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_145	Hypothetical							115040	115228				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_146	hypothetical	phrog_32713	PHROG	1e-197	651.9			115259	116182	1	307	306	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_147	Hypothetical protein	VOG46991	VOG	6.2e-33	109.6			116175	116393	2	72	70	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_148	Hypothetical protein	VOG38430	VOG	2.1e-44	145.7			116398	116763	1	71	70	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_149	hypothetical	phrog_35457	PHROG	2.7e-50	165.2			116760	116990	1	76	75	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_150	RNA polymerase sigma-F factor	VOG08722	VOG	3.9e-89	296.0			117136	118167	1	343	342	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_151	Hypothetical protein	VOG04842	VOG	3.2e-34	113.7			118160	118387	1	74	73	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_152	Hypothetical							118460	118690				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_153	Hypothetical							118683	118892				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_154	hypothetical	phrog_25519	PHROG	1.7e-46	153.0			118910	119134	1	74	73	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_155	tRNA splicing ligase	pVOG9332	PVOG	2.6e-185	140.1			119209	120414	1	75	74	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_156	Hypothetical protein	VOG00606	VOG	5.8e-53	153.3			120425	120724	1	78	77	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_157	Hypothetical							120753	121280				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_158	Hypothetical							121309	121443				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_159	Cytochrome c-type biogenesis protein CcmH	VOG05597	VOG	2.7e-67	222.0			121431	121814	3	127	124	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_160	hypothetical	phrog_19813	PHROG	2.3e-81	267.6			121816	122256	2	146	144	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_161	Hypothetical							122249	122428				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_162	hypothetical	phrog_22099	PHROG	3e-75	247.6			122419	122898	10	159	149	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_163	Hypothetical							122990	123157				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_164	Partition protein	VOG31057	VOG	3.5e-150	496.2			123293	124375	5	343	338	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_165	Hypothetical protein	VOG27732	VOG	1.4e-39	130.8			124356	124667	8	103	95	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_166	metallo-endopeptidase	phrog_7767	PHROG	4.3e-87	287.1			124814	125374	1	186	185	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_167	Hypothetical protein	VOG10075	VOG	3.4e-26	87.7			125307	125468	1	53	52	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_168	Hypothetical protein	VOG26179	VOG	8.2e-85	279.8			125759	126310	1	183	182	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_169	Hypothetical protein	VOG11816	VOG	3.7e-171	565.3			126364	127437	1	349	348	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_170	Hypothetical protein	VOG41448	VOG	1.8e-27	91.2			127450	127569	1	39	38	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_171	FtsK/SpoIIIE-like protein	phrog_3551	PHROG	0.0	1208.2			127556	129817	3	753	750	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_172	Hypothetical							129923	130210				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_173	Hypothetical protein	VOG43812	VOG	1.5e-51	169.5			130191	130460	1	89	88	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_174	Hypothetical protein	VOG41769	VOG	6.2e-47	154.1			130461	130679	1	72	71	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_175	Hypothetical protein	VOG50794	VOG	1.8e-46	152.7			130642	130920	14	92	78	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_176	Hypothetical							130946	131107				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_177	Hypothetical protein	VOG47964	VOG	1.1e-45	150.3			131181	131387	1	68	67	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_178	CoA ligase	VOG35238	VOG	2e-63	208.9			131410	131784	1	124	123	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_179	Hypothetical protein	VOG29902	VOG	1.3e-49	162.8			131781	132023	1	80	79	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_180	Hypothetical protein	VOG05649	VOG	1.7e-72	239.3			132051	132515	1	154	153	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_181	Hypothetical protein	VOG38683	VOG	5.9e-39	128.2			132512	132706	1	63	62	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_182	Hypothetical protein	VOG42735	VOG	8.7e-39	127.8			132709	132975	1	88	87	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_183	Hypothetical							132962	133219				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_184	Hypothetical protein	VOG39895	VOG	8.7e-48	157.2			133259	133573	1	96	95	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_185	Hypothetical							133631	134077				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_186	Hypothetical protein	VOG04399	VOG	1.8e-49	162.0			134070	134318	3	80	77	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_187	Transcriptional regulator	VOG71531	VOG	1.1e-36	122.2			134331	134564	1	77	76	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_188	Hypothetical							134581	134691				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_189	hypothetical	phrog_22679	PHROG	2.9e-32	107.1			134752	134880	1	42	41	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_190	hypothetical	phrog_1667	PHROG	2e-19	66.9			134973	135242	1	89	88	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_191	hypothetical	phrog_32361	PHROG	3.2e-103	339.9			135268	135822	1	184	183	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_192	Hypothetical protein	VOG21268	VOG	1.9e-44	146.2			135825	136103	2	92	90	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_193	Hypothetical							136139	136762				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_194	Hypothetical protein	VOG20032	VOG	3.4e-20	68.2			136747	136989	4	69	65	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_195	Hypothetical protein	VOG64682	VOG	3.3e-97	319.6			136965	137420	1	151	150	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_196	Hypothetical protein	VOG05077	VOG	1.2e-51	170.3			137439	137801	1	116	115	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_197	hypothetical protein	pVOG5733	PVOG	5.7e-76	250.7			137837	138520	1	160	159	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_198	Hypothetical protein	VOG01501	VOG	1.3e-89	295.6			138513	139061	1	180	179	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_199	hypothetical	phrog_12543	PHROG	3e-95	314.0			139063	139701	1	205	204	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_200	Hypothetical protein	VOG36335	VOG	1.1e-38	127.8			139691	139864	1	57	56	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_201	Hypothetical protein	VOG56989	VOG	5.4e-49	160.7			139908	140108	1	66	65	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_202	Hypothetical protein	VOG44842	VOG	6.4e-45	147.4			140144	140323	1	59	58	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_203	Gene 64 protein	VOG47755	VOG	4.6e-58	191.2			140367	140768	1	128	127	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_204	Hypothetical protein	VOG00707	VOG	3.8e-47	154.8			140835	141035	1	66	65	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_205	Hypothetical protein	VOG05802	VOG	1.1e-32	108.1			141032	141178	1	45	44	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_206	Hypothetical protein	VOG58670	VOG	2.3e-48	158.6			141197	141403	1	68	67	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_207	hypothetical	phrog_23759	PHROG	3.6e-44	144.8			141567	141755	1	57	56	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_208	Hypothetical protein	VOG23869	VOG	8e-60	195.7			141978	142247	1	89	88	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_209	hypothetical	phrog_23767	PHROG	2.7e-181	598.3			142353	143261	1	302	301	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_210	hypothetical	phrog_17292	PHROG	2.7e-58	191.1			143254	143589	1	111	110	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_211	hypothetical	phrog_22404	PHROG	1.9e-84	276.6			143576	143965	1	129	128	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_212	hypothetical	phrog_21207	PHROG	3e-91	299.9			144050	144517	1	154	153	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_213	hypothetical	phrog_17012	PHROG	4.6e-34	112.6			144593	144766	1	57	56	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_214	Hypothetical protein	VOG08188	VOG	1e-52	172.7			144836	145084	1	82	81	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_215	Hypothetical							145195	145377				
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_216	Hypothetical protein	VOG34355	VOG	2.7e-37	123.1			145444	145641	3	65	62	101
NC_048652.1_Bacillus_phage_vB_BsuM-Goe3_complete_genome_217	Hypothetical protein	VOG33017	VOG	4.5e-46	151.4			145724	145927	1	67	66	101
