"","final_gene","phage","mmseqs_qseqid","sporulation_hit","Host","Description"
"105031","K01447","KU737352","KU737352_69","sporulation_gene","Bacillus","Bacillus phage Nemo"
"105032","K01447","KU847400","KU847400_3","sporulation_gene","Bacillus","Bacillus phage Crookii"
"105033","K01447","KX011169","KX011169_65","sporulation_gene","Bacillus","Bacillus phage SalinJah"
"105034","K01447","KP296793","KP296793_20","sporulation_gene","Paenibacillus","Paenibacillus phage Rani"
"105035","K01447","KP296795","KP296795_20","sporulation_gene","Paenibacillus","Paenibacillus phage Shelly"
"105036","K01447","KP296796","KP296796_20","sporulation_gene","Paenibacillus","Paenibacillus phage Sitara"
"105037","K01447","KT151955","KT151955_50","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"105038","K01447","MH884514","MH884514_67","sporulation_gene","Bacillus","Bacillus phage vB_BpsM-61"
"105039","K01447","MK085976","MK085976_17","sporulation_gene","Bacillus","Bacillus phage AP631"
"105040","K01447","MK533143","MK533143_18","sporulation_gene","Paenibacillus","Paenibacillus phage vB_PlaP_API480"
"105041","K01447","MN038176","MN038176_68","sporulation_gene","Bacillus","Bacillus phage Phireball"
"105042","K01447","MN038179","MN038179_68","sporulation_gene","Bacillus","Bacillus phage ALPS"
"105043","K01447","MN043730","MN043730_41","sporulation_gene","Bacillus","Bacillus phage vB_BveM-Goe7"
"105044","K01447","MN065183","MN065183_47","sporulation_gene","Bacillus","Bacillus phage vB_BthS-HD29phi"
"105045","K01447","MN065183","MN065183_47","sporulation_gene","Bacillus","Bacillus phage vB_BthS-HD29phi"
"105046","K01447","MT136606","MT136606_20","sporulation_gene","Bacillus","Bacillus phage vB_BceS_KLEB30-3S"
"105047","K01447","MT366945","MT366945_16","sporulation_gene","Bacillus","Bacillus phage phi3Ts"
"105048","K01447","MT366945","MT366945_16","sporulation_gene","Bacillus","Bacillus phage phi3Ts"
"105049","K01447","MT366946","MT366946_20","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"105050","K01447","MT366946","MT366946_20","sporulation_gene","Bacillus","Bacillus phage Hyb1phi3Ts-SPbeta"
"105051","K01447","MT366947","MT366947_16","sporulation_gene","Bacillus","Bacillus phage Hyb2phi3Ts-SPbeta"
"105052","K01447","MT366947","MT366947_16","sporulation_gene","Bacillus","Bacillus phage Hyb2phi3Ts-SPbeta"
"105053","K01447","MT366948","MT366948_16","sporulation_gene","Bacillus","Bacillus phage Hyb3phi3Ts-SPbeta"
"105054","K01447","MT366948","MT366948_16","sporulation_gene","Bacillus","Bacillus phage Hyb3phi3Ts-SPbeta"
"105055","K01447","MT410774","MT410774_22","sporulation_gene","Psychrobacillus","Psychrobacillus phage Spoks"
"105056","K01447","MT584805","MT584805_75","sporulation_gene","Bacillus","Bacillus phage Tomato"
"105057","K01447","MT601273","MT601273_18","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe12"
"105058","K01447","MT601273","MT601273_18","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe12"
"105059","K01447","MT601274","MT601274_18","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"105060","K01447","MT601274","MT601274_18","sporulation_gene","Bacillus","Bacillus phage vB_BsuS-Goe13"
"105061","K01447","MT980837","MT980837_20","sporulation_gene","Ruminococcus","Ruminococcus phage phiRg507T2_3"
"105062","K01447","MW057920","MW057920_11","sporulation_gene","Clostridium","Clostridium phage CPQ1"
"105063","K01447","MW354667","MW354667_17","sporulation_gene","Bacillus","Bacillus phage BSTP3"
"105064","K01447","MW392803","MW392803_1","sporulation_gene","Bacillus","Bacillus phage BCPG1"
"105065","K01447","NC_048707","NC_048707_14","sporulation_gene","Clostridium","Clostridium phage CPS2"
"105066","K01447","MW419084","MW419084_208","sporulation_gene","Bacillus","Bacillus phage 000TH008"
"105067","K01447","MW584228","MW584228_37","sporulation_gene","Bacillus","Bacillus phage BCPG3"
"105068","K01447","MW596414","MW596414_35","sporulation_gene","Bacillus","Bacillus phage BCP18"
"105069","K01447","MW679027","MW679027_16","sporulation_gene","Clostridium","Clostridium phage cpx"
"105070","K01447","MW749002","MW749002_42","sporulation_gene","Bacillus","Bacillus phage vB_BspH_Mawwa"
"105071","K01447","MW749007","MW749007_38","sporulation_gene","Bacillus","Bacillus phage vB_BspH_TimeGriffin"
"105072","K01447","MW927511","MW927511_20","sporulation_gene","Paenibacillus","Paenibacillus phage AlexiD"
"105073","K01447","MW927512","MW927512_20","sporulation_gene","Paenibacillus","Paenibacillus phage Bert"
"105074","K01447","MW927513","MW927513_20","sporulation_gene","Paenibacillus","Paenibacillus phage Bohemia"
"105075","K01447","MW927514","MW927514_20","sporulation_gene","Paenibacillus","Paenibacillus phage Fitz"
"105076","K01447","MW927515","MW927515_20","sporulation_gene","Paenibacillus","Paenibacillus phage Gohan"
"105077","K01447","MW927516","MW927516_20","sporulation_gene","Paenibacillus","Paenibacillus phage Hobie"
"105078","K01447","MW927517","MW927517_20","sporulation_gene","Paenibacillus","Paenibacillus phage JackPlaque"
"105079","K01447","MW927518","MW927518_20","sporulation_gene","Paenibacillus","Paenibacillus phage Mock2"
"105080","K01447","MW927519","MW927519_20","sporulation_gene","Paenibacillus","Paenibacillus phage Neutron"
"105081","K01447","MW927520","MW927520_20","sporulation_gene","Paenibacillus","Paenibacillus phage Newport"
"105082","K01447","MW927521","MW927521_20","sporulation_gene","Paenibacillus","Paenibacillus phage Norbert"
"105083","K01447","MW927522","MW927522_20","sporulation_gene","Paenibacillus","Paenibacillus phage Pahemo"
"105084","K01447","MW927523","MW927523_20","sporulation_gene","Paenibacillus","Paenibacillus phage Picard"
"105085","K01447","MW927524","MW927524_20","sporulation_gene","Paenibacillus","Paenibacillus phage Riker"
"105086","K01447","MW927525","MW927525_20","sporulation_gene","Paenibacillus","Paenibacillus phage Sneaky"
"105087","K01447","MZ218124","MZ218124_6","sporulation_gene","Paenibacillus","Paenibacillus phage SV21"
"105088","K01447","MZ401005","MZ401005_12","sporulation_gene","Clostridium","Clostridium phage CPQ3"
"105089","K01447","MZ401007","MZ401007_16","sporulation_gene","Clostridium","Clostridium phage CPQ7"
"105090","K01447","MZ401008","MZ401008_18","sporulation_gene","Clostridium","Clostridium phage CPQ9"
"105091","K01447","MZ401009","MZ401009_18","sporulation_gene","Clostridium","Clostridium phage CPQ10"
"105092","K01447","MZ501260","MZ501260_221","sporulation_gene","Bacillus","Bacillus phage 010DV004"
"105093","K01447","MZ501261","MZ501261_221","sporulation_gene","Bacillus","Bacillus phage 010DV005"
"105094","K01447","MZ501262","MZ501262_226","sporulation_gene","Bacillus","Bacillus phage 035JT004"
"105095","K01447","MZ501263","MZ501263_224","sporulation_gene","Bacillus","Bacillus phage 043JT007"
"105096","K01447","MZ501265","MZ501265_219","sporulation_gene","Bacillus","Bacillus phage 278BB001"
"105097","K01447","MZ969646","MZ969646_43","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"105098","K01447","MZ969646","MZ969646_43","sporulation_gene","Bacillus","Bacillus phage BUCT082"
"105099","K01447","NC_001884","NC_001884_28","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"105100","K01447","NC_001884","NC_001884_28","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"105101","K01447","NC_004167","NC_004167_28","sporulation_gene","Bacillus","Bacillus phage phi105"
"105102","K01447","NC_007457","NC_007457_16","sporulation_gene","Bacillus","Bacillus phage Cherry"
"105103","K01447","NC_007458","NC_007458_16","sporulation_gene","Bacillus","Bacillus phage Gamma"
"105104","K01447","NC_007734","NC_007734_16","sporulation_gene","Bacillus","Bacillus phage WBeta"
"105105","K01447","NC_007814","NC_007814_16","sporulation_gene","Bacillus","Bacillus phage Fah"
"105106","K01447","NC_011167","NC_011167_65","sporulation_gene","Bacillus","Bacillus phage IEBH"
"105107","K01447","NC_011645","NC_011645_21","sporulation_gene","Bacillus","Bacillus phage TP21-L"
"105108","K01447","NC_016563","NC_016563_1","sporulation_gene","Bacillus","Bacillus phage W.Ph."
"105109","K01447","NC_017980","NC_017980_12","sporulation_gene","Clostridium","Clostridium phage phiCP7R"
"105110","K01447","KX961632","KX961632_64","sporulation_gene","Bacillus","Bacillus phage SBP8a"
"105111","K01447","KX965989","KX965989_75","sporulation_gene","Aeribacillus","Aeribacillus phage AP45"
"105112","K01447","KY030782","KY030782_16","sporulation_gene","Bacillus","Bacillus phage phi3T"
"105113","K01447","KY030782","KY030782_16","sporulation_gene","Bacillus","Bacillus phage phi3T"
"105114","K01447","KY368640","KY368640_39","sporulation_gene","Bacillus","Bacillus phage vB_BsuM-Goe3"
"105115","K01447","LT960608","LT960608_77","sporulation_gene","Bacillus","Bacillus phage SBSphiJ"
"105116","K01447","MF288917","MF288917_68","sporulation_gene","Bacillus","Bacillus phage PPIsBest"
"105117","K01447","MF288918","MF288918_69","sporulation_gene","Bacillus","Bacillus phage Bubs"
"105118","K01447","MF288919","MF288919_69","sporulation_gene","Bacillus","Bacillus phage AaronPhadgers"
"105119","K01447","MF288920","MF288920_69","sporulation_gene","Bacillus","Bacillus phage Zainny"
"105120","K01447","MF422185","MF422185_186","sporulation_gene","Bacillus","Bacillus phage BSP10"
"105121","K01447","MG000860","MG000860_179","sporulation_gene","Bacillus","Bacillus phage BSP9"
"105122","K01447","MG584725","MG584725_24","sporulation_gene","Bacillus","Bacillus phage BVE2"
"105123","K01447","MG711460","MG711460_17","sporulation_gene","Faecalibacterium","Faecalibacterium phage FP_Mushu"
"105124","K01447","MG727695","MG727695_20","sporulation_gene","Paenibacillus","Paenibacillus phage BN12"
"105125","K01447","MG727697","MG727697_20","sporulation_gene","Paenibacillus","Paenibacillus phage Dragolir"
"105126","K01447","MG727698","MG727698_20","sporulation_gene","Paenibacillus","Paenibacillus phage PBL1c"
"105127","K01447","MG727699","MG727699_20","sporulation_gene","Paenibacillus","Paenibacillus phage Pagassa"
"105128","K01447","MG727700","MG727700_20","sporulation_gene","Paenibacillus","Paenibacillus phage Tadhana"
"105129","K01447","MG727701","MG727701_20","sporulation_gene","Paenibacillus","Paenibacillus phage Leyra"
"105130","K01447","MG727702","MG727702_20","sporulation_gene","Paenibacillus","Paenibacillus phage Likha"
"105131","K01447","MG763894","MG763894_68","sporulation_gene","Bacillus","Bacillus phage HonestAbe"
"105132","K01447","MG983742","MG983742_24","sporulation_gene","Bacillus","Bacillus phage Anath"
"105133","K01447","MH248069","MH248069_14","sporulation_gene","Clostridium","Clostridium phage CPS2"
"105134","K01447","MH431930","MH431930_20","sporulation_gene","Paenibacillus","Paenibacillus phage Wanderer"
"105135","K01447","MH431931","MH431931_20","sporulation_gene","Paenibacillus","Paenibacillus phage Yyerffej"
"105136","K01447","MH431932","MH431932_20","sporulation_gene","Paenibacillus","Paenibacillus phage Arcticfreeze"
"105137","K01447","MH431933","MH431933_20","sporulation_gene","Paenibacillus","Paenibacillus phage DevRi"
"105138","K01447","MH431934","MH431934_20","sporulation_gene","Paenibacillus","Paenibacillus phage Gryphonian"
"105139","K01447","MH431935","MH431935_20","sporulation_gene","Paenibacillus","Paenibacillus phage Honeybear"
"105140","K01447","MH431936","MH431936_20","sporulation_gene","Paenibacillus","Paenibacillus phage Kawika"
"105141","K01447","MH431937","MH431937_20","sporulation_gene","Paenibacillus","Paenibacillus phage Lucielle"
"105142","K01447","MH454077","MH454077_20","sporulation_gene","Paenibacillus","Paenibacillus phage Bloom"
"105143","K01447","MH454078","MH454078_20","sporulation_gene","Paenibacillus","Paenibacillus phage Eltigre"
"105144","K01447","MH454079","MH454079_20","sporulation_gene","Paenibacillus","Paenibacillus phage Jacopo"
"105145","K01447","MH454081","MH454081_20","sporulation_gene","Paenibacillus","Paenibacillus phage LincolnB"
"105146","K01447","MH454082","MH454082_20","sporulation_gene","Paenibacillus","Paenibacillus phage Genki"
"105147","K01447","MH454083","MH454083_20","sporulation_gene","Paenibacillus","Paenibacillus phage Saudage"
"105148","K01447","MH454084","MH454084_20","sporulation_gene","Paenibacillus","Paenibacillus phage Toothless"
"105149","K01447","MH458951","MH458951_42","sporulation_gene","Bacillus","Bacillus phage vB_BthS_BMBphi"
"105150","K01447","MH538193","MH538193_60","sporulation_gene","Bacillus","Bacillus phage Saddex"
"105151","K01447","MH638311","MH638311_66","sporulation_gene","Bacillus","Bacillus phage OmnioDeoPrimus"
"105152","K01447","NC_028854","NC_028854_20","sporulation_gene","Paenibacillus","Paenibacillus phage Sitara"
"105153","K01447","MH707431","MH707431_36","sporulation_gene","Bacillus","Bacillus phage BSP14"
"105154","K01447","MH707432","MH707432_32","sporulation_gene","Bacillus","Bacillus phage BSP15"
"105155","K01447","MH707433","MH707433_45","sporulation_gene","Bacillus","Bacillus phage BSP18"
"105156","K01447","MH707435","MH707435_169","sporulation_gene","Bacillus","Bacillus phage BSP21"
"105157","K01447","MH707436","MH707436_45","sporulation_gene","Bacillus","Bacillus phage BSP36"
"105158","K01447","MH884514","MH884514_67","sporulation_gene","Bacillus","Bacillus phage vB_BpsM-61"
"105159","K01447","AB016282","AB016282_28","sporulation_gene","Bacillus","Bacillus phage phi105"
"105160","K01447","AB823818","AB823818_2","sporulation_gene","Geobacillus","Geobacillus phage phiOH2"
"105161","K01447","AB930182","AB930182_171","sporulation_gene","Bacillus","Bacillus phage SPG24"
"105162","K01447","AF020713","AF020713_28","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"105163","K01447","AF020713","AF020713_28","sporulation_gene","Bacillus","Bacillus phage SPBc2"
"105164","K01447","AP013029","AP013029_51","sporulation_gene","Bacillus","Bacillus phage phiNIT1"
"105165","K01447","CP019719","CP019719_59","sporulation_gene","Paenibacillus","Paenibacillus phage phiERICV"
"105166","K01447","DQ150593","DQ150593_16","sporulation_gene","Bacillus","Bacillus phage Fah"
"105167","K01447","DQ222851","DQ222851_16","sporulation_gene","Bacillus","Bacillus phage Cherry"
"105168","K01447","DQ222853","DQ222853_16","sporulation_gene","Bacillus","Bacillus phage Gamma"
"105169","K01447","DQ222855","DQ222855_16","sporulation_gene","Bacillus","Bacillus phage Gamma"
"105170","K01447","DQ289555","DQ289555_16","sporulation_gene","Bacillus","Bacillus phage WBeta"
"105171","K01447","DQ289556","DQ289556_16","sporulation_gene","Bacillus","Bacillus phage Gamma isolate d'Herelle"
"105172","K01447","EU874396","EU874396_65","sporulation_gene","Bacillus","Bacillus phage IEBH"
"105173","K01447","EU887664","EU887664_21","sporulation_gene","Bacillus","Bacillus phage TP21-L"
"105174","K01447","GU229986","GU229986_33","sporulation_gene","Bacillus","Bacillus phage 250"
"105175","K01447","HM072038","HM072038_24","sporulation_gene","Bacillus","Bacillus phage phi105"
"105176","K01447","HM144387","HM144387_1","sporulation_gene","Bacillus","Bacillus phage W.Ph."
"105177","K01447","JN654439","JN654439_7","sporulation_gene","Bacillus","Bacillus phage BPS13"
"105178","K01447","MG727696","MG727696_20","sporulation_gene","Paenibacillus","Paenibacillus phage Kiel007"
"105179","K01447","JQ062992","JQ062992_53","sporulation_gene","Bacillus","Bacillus phage phIS3501"
"105180","K01447","JQ062992","JQ062992_53","sporulation_gene","Bacillus","Bacillus phage phIS3501"
"105181","K01447","JQ729990","JQ729990_12","sporulation_gene","Clostridium","Clostridium phage phiCP7R"
"105182","K01447","JQ729991","JQ729991_10","sporulation_gene","Clostridium","Clostridium phage phiCPV4"
"105183","K01447","JQ729992","JQ729992_12","sporulation_gene","Clostridium","Clostridium phage phiZP2"
"105184","K01447","JX887877","JX887877_4","sporulation_gene","Bacillus","Bacillus phage vB_BtS_BMBtp2"
"105185","K01447","KC430106","KC430106_7","sporulation_gene","Bacillus","Bacillus phage BPS10C"
"105186","K01447","MH606185","MH606185_48","sporulation_gene","Bacillus","Bacillus phage BSP38"
"105187","K01447","KC699836","KC699836_39","sporulation_gene","Bacillus","Bacillus phage SIOphi"
"105188","K01447","KC847113","KC847113_41","sporulation_gene","Bacillus","Bacillus phage PBP180"
"105189","K01447","KF010834","KF010834_20","sporulation_gene","Paenibacillus","Paenibacillus phage phiIBB_P123"
"105190","K01447","KF296717","KF296717_55","sporulation_gene","Bacillus","Bacillus phage proCM3"
"105191","K01447","KF296718","KF296718_24","sporulation_gene","Bacillus","Bacillus phage phiCM3"
"105192","K01447","KF296718","KF296718_24","sporulation_gene","Bacillus","Bacillus phage phiCM3"
"105193","K01447","KF669652","KF669652_47","sporulation_gene","Bacillus","Bacillus phage Grass"
"105194","K01447","KJ489399","KJ489399_63","sporulation_gene","Bacillus","Bacillus phage Hakuna"
"105195","K01447","KJ489401","KJ489401_67","sporulation_gene","Bacillus","Bacillus phage Megatron"
"105196","K01447","KP202972","KP202972_20","sporulation_gene","Paenibacillus","Paenibacillus phage HB10c2"
"105197","K01447","KP296791","KP296791_20","sporulation_gene","Paenibacillus","Paenibacillus phage Diva"
"105198","K01447","OQ921344","OQ921344_57","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"105199","K01447","OQ921345","OQ921345_62","sporulation_gene","Bacillus","Bacillus phage SPbetaL5"
"105200","K01447","OM982668","OM982668_76","sporulation_gene","Bacillus","Bacillus phage SBSphiJ1"
"105201","K01447","OM982669","OM982669_77","sporulation_gene","Bacillus","Bacillus phage SBSphiJ2"
"105202","K01447","OM982670","OM982670_76","sporulation_gene","Bacillus","Bacillus phage SBSphiJ3"
"105203","K01447","OM982671","OM982671_74","sporulation_gene","Bacillus","Bacillus phage SBSphiJ4"
"105204","K01447","OM982672","OM982672_73","sporulation_gene","Bacillus","Bacillus phage SBSphiJ5"
"105205","K01447","OM982673","OM982673_75","sporulation_gene","Bacillus","Bacillus phage SBSphiJ6"
"105206","K01447","OM982674","OM982674_75","sporulation_gene","Bacillus","Bacillus phage SBSphiJ7"
"105207","K01447","ON107264","ON107264_146","sporulation_gene","Bacillus","Bacillus phage BUCT083"
"105208","K01447","ON107264","ON107264_146","sporulation_gene","Bacillus","Bacillus phage BUCT083"
"105209","K01447","ON210834","ON210834_25","sporulation_gene","Bacillus","Bacillus phage 268TH007"
"105210","K01447","ON210835","ON210835_25","sporulation_gene","Bacillus","Bacillus phage 268TH002"
"105211","K01447","ON528935","ON528935_49","sporulation_gene","Bacillus","Bacillus phage vB_BteM-A9Y"
"105212","K01447","OP380492","OP380492_117","sporulation_gene","Bacillus","Bacillus phage Nachito"
"105213","K01447","OP494865","OP494865_19","sporulation_gene","Paenibacillus","Paenibacillus phage LunBun"
"105214","K01447","OP503543","OP503543_19","sporulation_gene","Paenibacillus","Paenibacillus phage BarryFoster_Benicio"
"105215","K01447","OP503968","OP503968_19","sporulation_gene","Paenibacillus","Paenibacillus phage ABAtENZ"
"105216","K01447","OP503970","OP503970_19","sporulation_gene","Paenibacillus","Paenibacillus phage ApiWellbeing"
"105217","K01447","OP503972","OP503972_19","sporulation_gene","Paenibacillus","Paenibacillus phage Bob"
"105218","K01447","OP503973","OP503973_19","sporulation_gene","Paenibacillus","Paenibacillus phage Carlos"
"105219","K01447","OP503974","OP503974_19","sporulation_gene","Paenibacillus","Paenibacillus phage Dante"
"105220","K01447","OP503975","OP503975_19","sporulation_gene","Paenibacillus","Paenibacillus phage FutureBee"
"105221","K01447","OP503976","OP503976_19","sporulation_gene","Paenibacillus","Paenibacillus phage GaryLarson"
"105222","K01447","OP503978","OP503978_19","sporulation_gene","Paenibacillus","Paenibacillus phage Jacinda"
"105223","K01447","OP503980","OP503980_19","sporulation_gene","Paenibacillus","Paenibacillus phage Logan"
"105224","K01447","OP503981","OP503981_19","sporulation_gene","Paenibacillus","Paenibacillus phage NHScienceFair"
"105225","K01447","OP503983","OP503983_19","sporulation_gene","Paenibacillus","Paenibacillus phage Rae2Bee1"
"105226","K01447","OP503984","OP503984_19","sporulation_gene","Paenibacillus","Paenibacillus phage Rosalind"
"105227","K01447","OP503985","OP503985_19","sporulation_gene","Paenibacillus","Paenibacillus phage Ted"
"105228","K01447","OP503986","OP503986_19","sporulation_gene","Paenibacillus","Paenibacillus phage TonyLawson77"
"105229","K01447","OP503988","OP503988_19","sporulation_gene","Paenibacillus","Paenibacillus phage WildCape"
"105230","K01447","OP503989","OP503989_20","sporulation_gene","Paenibacillus","Paenibacillus phage Callan"
"105231","K01447","OP503990","OP503990_20","sporulation_gene","Paenibacillus","Paenibacillus phage Dash"
"105232","K01447","OP503991","OP503991_20","sporulation_gene","Paenibacillus","Paenibacillus phage Lilo"
"105233","K01447","OP503992","OP503992_21","sporulation_gene","Paenibacillus","Paenibacillus phage vB_PlaS-1/A"
"105234","K01447","NC_018083","NC_018083_10","sporulation_gene","Clostridium","Clostridium phage phiCPV4"
"105235","K01447","NC_018084","NC_018084_12","sporulation_gene","Clostridium","Clostridium phage phiZP2"
"105236","K01447","NC_018857","NC_018857_7","sporulation_gene","Bacillus","Bacillus phage BPS13"
"105237","K01447","NC_019502","NC_019502_53","sporulation_gene","Bacillus","Bacillus phage phIS3501"
"105238","K01447","NC_019502","NC_019502_53","sporulation_gene","Bacillus","Bacillus phage phIS3501"
"105239","K01447","NC_019912","NC_019912_4","sporulation_gene","Bacillus","Bacillus phage vB_BtS_BMBtp2"
"105240","K01447","NC_021856","NC_021856_51","sporulation_gene","Bacillus","Bacillus phage phiNIT1"
"105241","K01447","NC_021865","NC_021865_20","sporulation_gene","Paenibacillus","Paenibacillus phage phiIBB_P123"
"105242","K01447","NC_022771","NC_022771_47","sporulation_gene","Bacillus","Bacillus phage Grass"
"105243","K01447","NC_023501","NC_023501_7","sporulation_gene","Bacillus","Bacillus phage BPS10C"
"105244","K01447","NC_023599","NC_023599_24","sporulation_gene","Bacillus","Bacillus phage phiCM3"
"105245","K01447","NC_023599","NC_023599_24","sporulation_gene","Bacillus","Bacillus phage phiCM3"
"105246","K01447","NC_024211","NC_024211_67","sporulation_gene","Bacillus","Bacillus phage Megatron"
"105247","K01447","NC_024213","NC_024213_63","sporulation_gene","Bacillus","Bacillus phage Hakuna"
"105248","K01447","NC_028746","NC_028746_19","sporulation_gene","Paenibacillus","Paenibacillus phage Harrison"
"105249","K01447","NC_028749","NC_028749_57","sporulation_gene","Brevibacillus","Brevibacillus phage Sundance"
"105250","K01447","NC_028758","NC_028758_20","sporulation_gene","Paenibacillus","Paenibacillus phage HB10c2"
"105251","K01447","NC_028767","NC_028767_19","sporulation_gene","Paenibacillus","Paenibacillus phage Vegas"
"105252","K01447","OP503969","OP503969_19","sporulation_gene","Paenibacillus","Paenibacillus phage AJG77"
"105253","K01447","NC_028788","NC_028788_20","sporulation_gene","Paenibacillus","Paenibacillus phage Diva"
"105254","K01447","NC_028805","NC_028805_50","sporulation_gene","Brevibacillus","Brevibacillus phage Jenst"
"105255","K01447","NC_028837","NC_028837_20","sporulation_gene","Paenibacillus","Paenibacillus phage Xenia"
"105256","K01447","NC_028851","NC_028851_20","sporulation_gene","Paenibacillus","Paenibacillus phage Fern"
"105257","K01447","NC_028886","NC_028886_23","sporulation_gene","Bacillus","Bacillus phage phi4B1"
"105258","K01447","NC_028944","NC_028944_70","sporulation_gene","Bacillus","Bacillus phage Eyuki"
"105259","K01447","NC_029024","NC_029024_33","sporulation_gene","Bacillus","Bacillus phage 250"
"105260","K01447","NC_029084","NC_029084_20","sporulation_gene","Paenibacillus","Paenibacillus phage Rani"
"105261","K01447","NC_030903","NC_030903_171","sporulation_gene","Bacillus","Bacillus phage SPG24"
"105262","K01447","NC_030904","NC_030904_29","sporulation_gene","Bacillus","Bacillus phage vB_BhaS-171"
"105263","K01447","OQ921344","OQ921344_57","sporulation_gene","Bacillus","Bacillus phage SPbetaL4"
"105264","K01447","NC_031006","NC_031006_66","sporulation_gene","Bacillus","Bacillus phage DIGNKC"
"105265","K01447","NC_031012","NC_031012_67","sporulation_gene","Bacillus","Bacillus phage Kida"
"105266","K01447","NC_031024","NC_031024_67","sporulation_gene","Bacillus","Bacillus phage Belinda"
"105267","K01447","NC_031027","NC_031027_67","sporulation_gene","Bacillus","Bacillus phage SageFayge"
"105268","K01447","NC_031034","NC_031034_65","sporulation_gene","Bacillus","Bacillus phage SalinJah"
"105269","K01447","NC_031037","NC_031037_67","sporulation_gene","Bacillus","Bacillus phage Nigalana"
"105270","K01447","NC_031049","NC_031049_67","sporulation_gene","Bacillus","Bacillus phage NotTheCreek"
"105271","K01447","NC_031054","NC_031054_70","sporulation_gene","Bacillus","Bacillus phage DirtyBetty"
"105272","K01447","NC_031055","NC_031055_26","sporulation_gene","Bacillus","Bacillus phage PfEFR-5"
"105273","K01447","NC_031070","NC_031070_69","sporulation_gene","Bacillus","Bacillus phage Nemo"
"105274","K01447","NC_031116","NC_031116_68","sporulation_gene","Bacillus","Bacillus phage Zuko"
"105275","K02335","NC_014457","NC_014457_51","sporulation_gene","Clostridium","Clostridium phage phiCTP1"
"105276","K02335","NC_016563","NC_016563_91","sporulation_gene","Bacillus","Bacillus phage W.Ph."
"105277","K02335","NC_018856","NC_018856_98","sporulation_gene","Bacillus","Bacillus phage Bastille"
"105278","K02335","NC_018857","NC_018857_204","sporulation_gene","Bacillus","Bacillus phage BPS13"
"105279","K02335","NC_018860","NC_018860_154","sporulation_gene","Bacillus","Bacillus phage BCP78"
"105280","K02335","NC_018863","NC_018863_203","sporulation_gene","Bacillus","Bacillus phage B4"
"105281","K02335","NC_019487","NC_019487_193","sporulation_gene","Bacillus","Bacillus phage SP-10"
"105282","K02335","NC_019487","NC_019487_193","sporulation_gene","Bacillus","Bacillus phage SP-10"
"105283","K02335","NC_019515","NC_019515_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105284","K02335","NC_019515","NC_019515_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105285","K02335","NC_019515","NC_019515_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105286","K02335","NC_019515","NC_019515_51","sporulation_gene","Bacillus","Bacillus phage BCD7"
"105287","K02335","NC_019924","NC_019924_26","sporulation_gene","Clostridium","Clostridium phage phi8074-B1"
"105288","K02335","NC_020081","NC_020081_95","sporulation_gene","Bacillus","Bacillus phage phiAGATE"
"105289","K02335","NC_020081","NC_020081_97","sporulation_gene","Bacillus","Bacillus phage phiAGATE"
"105290","K02335","NC_020081","NC_020081_97","sporulation_gene","Bacillus","Bacillus phage phiAGATE"
"105291","K02335","NC_020873","NC_020873_155","sporulation_gene","Bacillus","Bacillus phage vB_BceM_Bc431v3"
"105292","K02335","NC_021856","NC_021856_139","sporulation_gene","Bacillus","Bacillus phage phiNIT1"
"105293","K02335","NC_021856","NC_021856_136","sporulation_gene","Bacillus","Bacillus phage phiNIT1"
"105294","K02335","NC_022088","NC_022088_147","sporulation_gene","Bacillus","Bacillus phage Troll"
"105295","K02335","NC_022761","NC_022761_136","sporulation_gene","Bacillus","Bacillus phage CampHawk"
"105296","K02335","NC_022763","NC_022763_144","sporulation_gene","Bacillus","Bacillus phage Spock"
"105297","K02335","OM982668","OM982668_159","sporulation_gene","Bacillus","Bacillus phage SBSphiJ1"
"105298","K02335","NC_022769","NC_022769_144","sporulation_gene","Bacillus","Bacillus phage BigBertha"
"105299","K02335","NC_022771","NC_022771_132","sporulation_gene","Bacillus","Bacillus phage Grass"
"105300","K02335","NC_022771","NC_022771_134","sporulation_gene","Bacillus","Bacillus phage Grass"
"105301","K02335","OM982670","OM982670_162","sporulation_gene","Bacillus","Bacillus phage SBSphiJ3"
"105302","K02335","NC_023501","NC_023501_204","sporulation_gene","Bacillus","Bacillus phage BPS10C"
"105303","K01447","OP503971","OP503971_19","sporulation_gene","Paenibacillus","Paenibacillus phage Bloomfield"
"105304","K01447","OP503977","OP503977_19","sporulation_gene","Paenibacillus","Paenibacillus phage GIW2016"
"105305","K01447","OP503979","OP503979_19","sporulation_gene","Paenibacillus","Paenibacillus phage Lena"
